dataset,family,seed,budget,rho,accuracy,attack_loss,source_class,source
cifar,alibi,42,0.005,0.022540106733561244,0.9992947813822285,1.3902607411146164,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,42,0.01,0.04477077454152424,0.9925952045133992,1.4373911201953888,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,42,0.025,0.1098064660173798,0.9042665726375178,1.7338642477989197,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,42,0.05,0.2150602371350877,0.6528561354019746,2.576020610332489,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,42,0.075,0.3199955602192948,0.4377644569816644,3.413015913963318,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,42,0.1,0.4423212707090444,0.17066290550070523,4.271275770664215,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,42,0.15,0.6401676709543338,0.054654442877291966,4.950799608230591,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,123,0.005,0.02301154111838274,0.9949538889855577,1.4414926886558532,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,123,0.01,0.048082074664245945,0.9824256133634939,1.4905496418476105,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,123,0.025,0.11695910837392862,0.8722811901861841,1.835548746585846,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,123,0.05,0.22193410469892688,0.6119714633721942,2.66771537065506,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,123,0.075,0.34918629033649384,0.3152949364886027,3.5162049651145937,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,123,0.1,0.42339447519312495,0.3248651470332347,3.869376313686371,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,alibi,123,0.15,0.6452898734933252,0.21489472768400902,4.334799671173096,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_alibi.json
cifar,learned,42,0.00125,0.055847443283515055,0.99106529209622,1.5213226556777955,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_learned.json
cifar,learned,42,0.0025,0.10429318806565811,0.9756013745704466,1.6208358108997345,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_learned.json
cifar,learned,42,0.00375,0.12024012537657906,0.9391752577319589,1.7547191560268403,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_learned.json
