dataset,family,seed,regime,point_index,rho,accuracy,exact_clean_anchor,adversarial_lower_envelope
imagenet,learned,42,noise,0,0.0,1.0,True,False
imagenet,learned,42,noise,1,0.003913242973656732,1.0003270348837208,False,False
imagenet,learned,42,noise,2,0.007823503282487501,1.0003633720930232,False,False
imagenet,learned,42,noise,3,0.01575407971791498,1.0003633720930232,False,False
imagenet,learned,42,noise,4,0.03216064920554666,1.0000726744186046,False,False
imagenet,learned,42,noise,5,0.06561787487110614,0.9988735465116279,False,False
imagenet,learned,42,noise,6,0.08178584634992458,0.9977107558139535,False,False
imagenet,learned,42,noise,7,0.0975210169948719,0.9963299418604651,False,False
imagenet,learned,42,noise,8,0.12811379442870874,0.9946947674418605,False,False
imagenet,learned,42,adversarial,0,0.0,1.0,True,True
imagenet,learned,42,adversarial,1,0.009458034380346897,0.9989098837209301,False,True
imagenet,learned,42,adversarial,2,0.020802489319226205,0.9989098837209301,False,True
imagenet,learned,42,adversarial,3,0.04902656173936399,0.998546511627907,False,True
imagenet,learned,42,adversarial,4,0.10002190138584283,0.9880087209302325,False,True
imagenet,learned,42,adversarial,5,0.12604614375043002,0.9752906976744186,False,True
imagenet,learned,42,adversarial,6,0.1512684182149666,0.9676598837209303,False,True
imagenet,learned,42,adversarial,7,0.17438579900517864,0.9629360465116279,False,True
imagenet,learned,42,adversarial,8,0.20053695436742636,0.9127906976744184,False,True
imagenet,learned,42,adversarial,9,0.22506034283069076,0.7034883720930232,False,True
imagenet,learned,42,adversarial,10,0.25148879393004375,0.3986191860465116,False,True
imagenet,learned,42,adversarial_raw,0,0.0,1.0,True,False
imagenet,learned,42,adversarial_raw,1,0.009458034380346897,0.9989098837209301,False,False
imagenet,learned,42,adversarial_raw,2,0.020802489319226205,0.9996366279069766,False,False
imagenet,learned,42,adversarial_raw,3,0.04902656173936399,0.998546511627907,False,False
imagenet,learned,42,adversarial_raw,4,0.10002190138584283,0.9880087209302325,False,False
imagenet,learned,42,adversarial_raw,5,0.12604614375043002,0.9752906976744186,False,False
imagenet,learned,42,adversarial_raw,6,0.1512684182149666,0.9676598837209303,False,False
imagenet,learned,42,adversarial_raw,7,0.17438579900517864,0.9629360465116279,False,False
imagenet,learned,42,adversarial_raw,8,0.20053695436742636,0.9127906976744184,False,False
imagenet,learned,42,adversarial_raw,9,0.22506034283069076,0.7034883720930232,False,False
imagenet,learned,42,adversarial_raw,10,0.25148879393004375,0.3986191860465116,False,False
imagenet,learned,123,noise,0,0.0,1.0,True,False
imagenet,learned,123,noise,1,0.003633186742204919,0.999963807455664,False,False
imagenet,learned,123,noise,2,0.0072562535697033555,0.9998914223669925,False,False
imagenet,learned,123,noise,3,0.014597524801062222,0.9993847267462904,False,False
imagenet,learned,123,noise,4,0.02989766920069862,0.9984799131378936,False,False
imagenet,learned,123,noise,5,0.06256597137520811,0.9955845095910243,False,False
imagenet,learned,123,noise,6,0.07904849621797212,0.9943901556279406,False,False
imagenet,learned,123,noise,7,0.09520455121874245,0.9932681867535289,False,False
imagenet,learned,123,noise,8,0.12630495976217512,0.9895041621425987,False,False
imagenet,learned,123,adversarial,0,0.0,1.0,True,True
imagenet,learned,123,adversarial,1,0.007448498846294486,0.9996380745566414,False,True
imagenet,learned,123,adversarial,2,0.01603901248859653,0.9992761491132828,False,True
imagenet,learned,123,adversarial,3,0.02942556345657348,0.995656894679696,False,True
imagenet,learned,123,adversarial,4,0.04833413888637212,0.9945711183496201,False,True
imagenet,learned,123,adversarial,5,0.07592459969608399,0.9887803112558814,False,True
imagenet,learned,123,adversarial,6,0.09580649530942457,0.9851610568222946,False,True
imagenet,learned,123,adversarial,7,0.11327960264820501,0.9482446615997105,False,True
imagenet,learned,123,adversarial,8,0.13326648855470857,0.8946796959826276,False,True
imagenet,learned,123,adversarial,9,0.15297248043074443,0.7756062251176259,False,True
imagenet,learned,123,adversarial,10,0.17393032798566513,0.50814332247557,False,True
imagenet,learned,123,adversarial_raw,0,0.0,1.0,True,False
imagenet,learned,123,adversarial_raw,1,0.007448498846294486,0.9996380745566414,False,False
imagenet,learned,123,adversarial_raw,2,0.01603901248859653,0.9992761491132828,False,False
imagenet,learned,123,adversarial_raw,3,0.02942556345657348,0.995656894679696,False,False
imagenet,learned,123,adversarial_raw,4,0.04833413888637212,0.9945711183496201,False,False
imagenet,learned,123,adversarial_raw,5,0.07592459969608399,0.9887803112558814,False,False
imagenet,learned,123,adversarial_raw,6,0.09580649530942457,0.9851610568222946,False,False
imagenet,learned,123,adversarial_raw,7,0.11327960264820501,0.9482446615997105,False,False
imagenet,learned,123,adversarial_raw,8,0.13326648855470857,0.8946796959826276,False,False
imagenet,learned,123,adversarial_raw,9,0.15297248043074443,0.7756062251176259,False,False
imagenet,learned,123,adversarial_raw,10,0.17393032798566513,0.50814332247557,False,False
imagenet,learned,456,noise,0,0.0,1.0,True,False
imagenet,learned,456,noise,1,0.0033004859736081352,1.0001836884643645,False,False
imagenet,learned,456,noise,2,0.006594471094933964,1.0001469507714915,False,False
imagenet,learned,456,noise,3,0.013261271651945761,1.0,False,False
imagenet,learned,456,noise,4,0.027015006308371902,0.9998530492285085,False,False
imagenet,learned,456,noise,5,0.05596505592861567,0.9980896399706098,False,False
imagenet,learned,456,noise,6,0.07072971817407356,0.996767083027186,False,False
imagenet,learned,456,noise,7,0.08556079537566037,0.9966568699485674,False,False
imagenet,learned,456,noise,8,0.11555340846587006,0.9948934606906688,False,False
imagenet,learned,456,adversarial,0,0.0,1.0,True,True
imagenet,learned,456,adversarial,1,0.004106843010664594,0.9988978692138134,False,True
imagenet,learned,456,adversarial,2,0.008517517574208598,0.9963262307127113,False,True
imagenet,learned,456,adversarial,3,0.013355914509740451,0.9959588537839825,False,True
imagenet,learned,456,adversarial,4,0.019197394971012208,0.9930198383541514,False,True
imagenet,learned,456,adversarial,5,0.039192013136129016,0.9893460690668627,False,True
imagenet,learned,456,adversarial,6,0.07195597462763634,0.9867744305657606,False,True
imagenet,learned,456,adversarial,7,0.0805099891000621,0.9823659074210139,False,True
imagenet,learned,456,adversarial,8,0.1541308802355012,0.9643644379132992,False,True
imagenet,learned,456,adversarial,9,0.18363223324483946,0.9180749448934609,False,True
imagenet,learned,456,adversarial,10,0.2072542416193139,0.7468772961058046,False,True
imagenet,learned,456,adversarial_raw,0,0.0,1.0,True,False
imagenet,learned,456,adversarial_raw,1,0.004106843010664594,0.9988978692138134,False,False
imagenet,learned,456,adversarial_raw,2,0.008517517574208598,0.9963262307127113,False,False
imagenet,learned,456,adversarial_raw,3,0.013355914509740451,0.9959588537839825,False,False
imagenet,learned,456,adversarial_raw,4,0.019197394971012208,0.9930198383541514,False,False
imagenet,learned,456,adversarial_raw,5,0.039192013136129016,0.9893460690668627,False,False
imagenet,learned,456,adversarial_raw,6,0.07195597462763634,0.9867744305657606,False,False
imagenet,learned,456,adversarial_raw,7,0.0805099891000621,0.9823659074210139,False,False
imagenet,learned,456,adversarial_raw,8,0.1541308802355012,0.9643644379132992,False,False
imagenet,learned,456,adversarial_raw,9,0.18363223324483946,0.9180749448934609,False,False
