dataset,family,regime,rho,mean_accuracy,sd_accuracy,low_accuracy,high_accuracy
imagenet,learned,noise,0.0,1.0,0.0,1.0,1.0
imagenet,learned,noise,0.0002375,1.0000004088214265,2.5404373172210644e-05,0.9999750044482543,1.0000258131945987
imagenet,learned,noise,0.000475,1.000000817642853,5.080874634442533e-05,0.9999500088965085,1.0000516263891974
imagenet,learned,noise,0.0007125,1.0000012264642795,7.621311951663598e-05,0.9999250133447628,1.0000774395837961
imagenet,learned,noise,0.00095,1.0000016352857062,0.00010161749268883503,0.9999000177930173,1.000103252778395
imagenet,learned,noise,0.0011875,1.0000020441071327,0.00012702186586104568,0.9998750222412717,1.0001290659729938
imagenet,learned,noise,0.001425,1.0000024529285592,0.00015242623903326036,0.9998500266895259,1.0001548791675925
imagenet,learned,noise,0.0016625,1.0000028617499856,0.00017783061220547102,0.9998250311377802,1.0001806923621912
imagenet,learned,noise,0.0019,1.0000032705714121,0.00020323498537770405,0.9998000355860345,1.00020650555679
imagenet,learned,noise,0.0021375,1.0000036793928386,0.0002286393585498553,0.9997750400342887,1.0002323187513884
imagenet,learned,noise,0.002375,1.0000040882142653,0.0002540437317220635,0.9997500444825432,1.0002581319459873
imagenet,learned,noise,0.0026125,1.0000044970356916,0.00027944810489426256,0.9997250489307974,1.0002839451405858
imagenet,learned,noise,0.00285,1.000004905857118,0.0003048524780664732,0.9997000533790517,1.0003097583351845
imagenet,learned,noise,0.0030875,1.0000053146785446,0.00033025685123869034,0.9996750578273059,1.0003355715297833
imagenet,learned,noise,0.003325,1.0000054505447136,0.00035549666142105607,0.9996499538832925,1.0003609472061346
imagenet,learned,noise,0.0035625,1.0000032148852764,0.0003793635904414423,0.999623851294835,1.0003825784757179
imagenet,learned,noise,0.0038,1.0000003393012231,0.00039768856850237304,0.9996026507327207,1.0003980278697255
imagenet,learned,noise,0.0040375,0.9999965393705931,0.00040952730397796934,0.9995870120666152,1.000406066674571
imagenet,learned,noise,0.004275,0.9999913375195901,0.0004200866686772571,0.9995712508509129,1.0004114241882673
imagenet,learned,noise,0.0045125,0.9999861356685869,0.0004307156137774042,0.9995554200548095,1.0004168512823643
imagenet,learned,noise,0.00475,0.9999809338175837,0.0004414091129069596,0.9995395247046768,1.0004223429304906
imagenet,learned,noise,0.0049875,0.9999757319665806,0.0004521625860432804,0.9995235693805373,1.000427894552624
imagenet,learned,noise,0.005225,0.9999705301155778,0.00046297185414647253,0.9995075582614313,1.0004335019697244
imagenet,learned,noise,0.0054625,0.9999653282645745,0.0004738330987812057,0.9994914951657933,1.0004391613633556
imagenet,learned,noise,0.0057,0.9999601264135715,0.0004847428261705699,0.9994753835874008,1.000444869239742
imagenet,learned,noise,0.0059375,0.9999549245625684,0.0004956978351793129,0.9994592267273891,1.0004506223977476
imagenet,learned,noise,0.006175,0.9999497227115651,0.000506695188780594,0.9994430275227846,1.0004564179003457
imagenet,learned,noise,0.0064125,0.999944520860562,0.0005177321886069637,0.999426788671955,1.000462253049169
imagenet,learned,noise,0.00665,0.9999392182319036,0.0005287590658767437,0.9994104591660268,1.0004679772977803
imagenet,learned,noise,0.0068875,0.9999335853496539,0.0005396692054386546,0.9993939161442152,1.0004732545550925
imagenet,learned,noise,0.007125,0.9999279524674044,0.0005506173212719421,0.9993773351461325,1.0004785697886764
imagenet,learned,noise,0.0073625,0.9999216269295358,0.0005616946596151464,0.9993599322699206,1.0004833215891509
imagenet,learned,noise,0.0076,0.9999185974635058,0.0005626136189248966,0.9993559838445809,1.0004812110824306
imagenet,learned,noise,0.0078375,0.9999123324409336,0.0005599019345169675,0.9993524305064166,1.0004722343754506
imagenet,learned,noise,0.008075,0.9999057212570274,0.0005569416298753343,0.9993487796271521,1.0004626628869027
imagenet,learned,noise,0.0083125,0.9998991100731206,0.0005540613676791846,0.9993450487054414,1.0004531714407998
imagenet,learned,noise,0.00855,0.9998924988892144,0.0005512624025587917,0.9993412364866556,1.0004437612917731
