endpoint,dataset,pe_family,n_seeds,envelope_gap_mean,raw_gap_mean,raw_minus_envelope,positive_raw_gap_seeds,minimum_raw_gap
0.09,imagenet,learned,6,0.004501223827385651,0.004465572448349117,-3.565137903653332e-05,6,0.0018520966107282
0.09,imagenet,sinusoidal,6,0.13734490180642414,0.13734490180642414,0.0,6,0.1075765243722963
0.09,imagenet,rope,6,0.047449470481519214,0.04739692573812021,-5.25447433990002e-05,6,0.0303827863697326
0.09,imagenet,alibi,6,0.12658729413676326,0.12658729413676326,0.0,6,0.0808045948439497
0.09,cifar,learned,6,0.015368611871956017,0.014590711233047384,-0.0007779006389086328,6,0.0059443668128048
0.09,cifar,sinusoidal,6,0.04053607904773368,0.04053607904773368,0.0,6,0.0369234405745626
0.09,cifar,rope,6,0.008677181286286516,0.00853956193276315,-0.00013761935352336668,6,0.001329094449276
0.09,cifar,alibi,6,0.020275534885330883,0.020275534885330883,0.0,6,0.0149988141455453
0.095,imagenet,learned,6,0.004802026828427067,0.004768251837760867,-3.377499066620006e-05,6,0.0019449581494018
0.095,imagenet,sinusoidal,6,0.16679556577904509,0.16679431307640927,-1.252702635799278e-06,6,0.1298826236150154
0.095,imagenet,rope,6,0.0563350186822405,0.056285239451651974,-4.9779230588533015e-05,6,0.035630578791189
0.095,imagenet,alibi,6,0.14046563030860032,0.14046563030860032,0.0,6,0.092493541699049
0.095,cifar,learned,6,0.01834743433234268,0.017030256650963235,-0.0013171776813794497,6,0.0064176779988633
0.095,cifar,sinusoidal,6,0.044828614772276815,0.044828614772276815,0.0,6,0.0405514315244608
0.095,cifar,rope,6,0.01000907669030175,0.009878700460648033,-0.00013037622965371667,6,0.0016338884545108
0.095,cifar,alibi,6,0.02269724396609295,0.02269724396609295,0.0,6,0.0172856811201466
