dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources
cifar,alibi,42,0.005,0.021638554274202783,0.998342736248237,10,0.00015888764383833461,0.0010969367743601194,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,42,0.01,0.04328813491024407,0.9962976022566996,10,0.000337280852426494,0.002091025725747207,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,42,0.025,0.10838053310201592,0.9829689703808182,10,0.0010280248859034448,0.008433679542411282,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,42,0.05,0.21751973068584723,0.922849083215797,10,0.002764790584274112,0.024089837425185532,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,42,0.075,0.3260059529454698,0.8162023977433005,10,0.004030063864773519,0.044187076403721326,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,42,0.1,0.43302134016903404,0.7003702397743301,10,0.0044105810026993765,0.06610341811776142,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,42,0.15,0.6447670757879458,0.4980077574047955,10,0.0038888722302190953,0.08314479859096248,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,42,0.2,0.8555010062936219,0.36119534555712274,10,0.0028895015551106524,0.08718284672355357,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.005,0.022371564864689088,0.9981903601879243,10,0.0017702696729408336,0.0019310157084675894,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.01,0.044678442320942084,0.9955107012354272,10,0.0033654193385841947,0.00509144173979526,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.025,0.11109583987675264,0.9716721767878893,10,0.006706664202719211,0.01686806348254524,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.05,0.2206024905919947,0.8923960327127196,10,0.009538079374355598,0.046913832933096235,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.075,0.32860781904716807,0.7666434661562553,10,0.01087780603916,0.08597258386584872,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.1,0.43507380558272785,0.635026970593353,10,0.011362003927381424,0.11105929030627129,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.15,0.6466005046743812,0.4339829476248477,10,0.011848382387745333,0.10712870068576308,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,123,0.2,0.8571751895089161,0.303010266225857,10,0.01186099069891573,0.09924695269361097,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,alibi,456,0.005,0.02221798854726815,0.99841493483621,10,0.0006261935674646407,0.002446009939650082,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,alibi,456,0.01,0.04451861198214638,0.9950510743219445,10,0.0014683308308041537,0.005905992947095182,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,alibi,456,0.025,0.1117104735424215,0.9703945051074323,10,0.005041135543954092,0.016447029765334416,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,alibi,456,0.05,0.22134849668576564,0.882617118703769,10,0.008574488202628646,0.061598370826856645,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,alibi,456,0.075,0.3282567808173097,0.7528178936245158,10,0.007828029122629115,0.11296384924949368,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
