dataset,family,seed,draw_seed,budget,rho,accuracy,source
cifar,learned,42,1712846226,0.0025,0.018012973953759708,0.9993127147766323,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1712846226,0.005,0.036231674523921176,0.9993127147766323,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1712846226,0.01,0.07454304284553821,0.9982817869415808,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1712846226,0.015,0.1161160452010317,0.99553264604811,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1712846226,0.02,0.15962774947763853,0.9945017182130584,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1712846226,0.03,0.24394305148097523,0.9871134020618557,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1712846226,0.04,0.31989965006860865,0.9766323024054981,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1712846226,0.05,0.3875123066289122,0.9673539518900343,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.0025,0.018404833646464527,0.9991408934707904,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.005,0.037037944116664404,1.0,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.01,0.0761815048045913,0.9970790378006873,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.015,0.11820173897028467,0.9965635738831615,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.02,0.1617961931671618,0.9939862542955327,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.03,0.24623834442150622,0.9903780068728523,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.04,0.32207447377238163,0.9785223367697595,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,2059244268,0.05,0.3892730004683158,0.9690721649484535,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.0025,0.01857830219502259,0.9998281786941581,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.005,0.037309028348065806,1.000171821305842,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.01,0.07644471671118183,0.9963917525773196,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.015,0.11830720272930821,0.9946735395189004,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.02,0.1613002864855589,0.9912371134020619,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.03,0.24467200206585327,0.986426116838488,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.04,0.3207163979131775,0.9798969072164949,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,325141848,0.05,0.3885373739660316,0.9659793814432989,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,366946340,0.0025,0.01721259404618582,0.9987972508591065,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
