architecture,dataset,family,n_seeds,n_eval,mean,sd
vitb,imagenet,learned,6,3464,79.20034642032333,0.4894868636782099
vitb,cifar,learned,6,8464,67.87964713295527,0.4882030208354664
vits,imagenet,learned,6,3464,77.95419553502694,0.41380220860769
vitb,imagenet,sinusoidal,6,3464,81.50981524249423,0.5381452621913209
vitb,cifar,sinusoidal,6,8464,67.0663988657845,0.5191367137424349
vits,imagenet,sinusoidal,6,3464,78.85873749037721,0.3758064764547601
vitb,imagenet,rope,6,3464,84.27636643571978,0.2699873428291008
vitb,cifar,rope,6,8464,73.0308758664146,0.16228259119436375
vits,imagenet,rope,6,3464,82.64049268668207,0.34238735324590036
vitb,imagenet,alibi,6,3464,80.96612779060816,0.4482194496692705
vitb,cifar,alibi,6,8464,67.50748267170762,0.36996693204579667
vits,imagenet,alibi,6,3464,79.20996920708238,0.2789446547542257
