dataset,family,seed,budget,rho,accuracy,attack_loss,sources,source_classes,architecture,source_index
imagenet,learned,42,0.00025000000000000001,0.0094580343803467998,0.99890988372093004,0.9554893338121474,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,0
imagenet,learned,42,0.00050000000000000001,0.020802489319226201,0.9996366279069766,0.96618926352821277,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,1
imagenet,learned,42,0.00075000000000000002,0.0490265617393639,0.99854651162790697,0.97893395433202401,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,2
imagenet,learned,42,0.001,0.1000219013858428,0.9880087209302324,1.0024820289108902,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,3
imagenet,learned,42,0.00125,0.12604614375043,0.97529069767441856,1.0262042732909322,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_learned.json,base,vitb_amp,4
imagenet,learned,42,0.0015,0.15126841821496659,0.96765988372093037,1.0530317341908813,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_learned.json,base,vitb_amp,5
imagenet,learned,42,0.00175,0.17438579900517859,0.96293604651162801,1.1403881462756544,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_learned.json,base,vitb_amp,6
imagenet,learned,42,0.002,0.2005369543674263,0.91279069767441845,1.3010669801384211,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_learned.json,base,vitb_amp,7
imagenet,learned,42,0.0022499999999999998,0.22506034283069071,0.70348837209302317,2.0314271587878467,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_learned.json,base,vitb_amp,8
imagenet,learned,42,0.0025000000000000001,0.2514887939300437,0.39861918604651159,3.1527364179492001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_learned.json,base,vitb_amp,9
imagenet,learned,123,0.00025000000000000001,0.0074484988462943996,0.99963807455664144,0.90992800709791477,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,0
imagenet,learned,123,0.00050000000000000001,0.016039012488596498,0.99927614911328277,0.91973592266440396,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,1
imagenet,learned,123,0.00075000000000000002,0.029425563456573399,0.99565689467969598,0.9302207811269908,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,2
imagenet,learned,123,0.001,0.048334138886372099,0.99457111834961998,0.94227819480001918,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_42_123.json,densification,vitb_amp,3
imagenet,learned,123,0.00125,0.075924599696083894,0.98878031125588139,0.9599610523786396,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_learned.json,base,vitb_amp,4
imagenet,learned,123,0.0015,0.095806495309424505,0.9851610568222946,0.97787411431781956,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_learned.json,base,vitb_amp,5
imagenet,learned,123,0.00175,0.113279602648205,0.94824466159971044,1.0794444543309509,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_learned.json,base,vitb_amp,6
imagenet,learned,123,0.002,0.13326648855470849,0.89467969598262764,1.2872217059135438,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_learned.json,base,vitb_amp,7
imagenet,learned,123,0.0022499999999999998,0.15297248043074441,0.77560622511762589,1.7177569059655071,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_learned.json,base,vitb_amp,8
imagenet,learned,123,0.0025000000000000001,0.1739303279856651,0.50814332247557004,2.711404598131776,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_learned.json,base,vitb_amp,9
imagenet,learned,456,0.00025000000000000001,0.0041068430106645003,0.99889786921381341,0.96578477015718822,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,0
imagenet,learned,456,0.00050000000000000001,0.0085175175742085007,0.9963262307127112,0.97546980045735843,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,1
imagenet,learned,456,0.00075000000000000002,0.013355914509740399,0.99595885378398241,0.98549887510016565,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,2
imagenet,learned,456,0.001,0.019197394971012201,0.99301983835415142,0.99582271180115645,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,3
imagenet,learned,456,0.00125,0.039192013136129002,0.98934606906686284,1.0069205991458148,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_learned.json,base,vitb_amp,4
imagenet,learned,456,0.0015,0.071955974627636296,0.98677443056576064,1.0272789953742176,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_learned.json,base,vitb_amp,5
imagenet,learned,456,0.00175,0.080509989100062102,0.98236590742101404,1.0557661158964038,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_learned.json,base,vitb_amp,6
imagenet,learned,456,0.002,0.1541308802355012,0.96436443791329918,1.1277034767903389,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_learned.json,base,vitb_amp,7
imagenet,learned,456,0.0022499999999999998,0.1836322332448394,0.91807494489346075,1.2644842973910273,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_learned.json,base,vitb_amp,8
imagenet,learned,456,0.0025000000000000001,0.20725424161931391,0.74687729610580456,1.9521253767423328,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_learned.json,base,vitb_amp,9
imagenet,learned,789,0.00025000000000000001,0.0141790474623711,0.99853103195005499,0.96222985312342635,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,0
