family,seed,vitb_clean_accuracy_percent,vits_clean_accuracy_percent,delta_pp_vits_minus_vitb
learned,42,79.44572748267899,77.800230946882223,-1.6454965357967666
learned,123,79.763279445727477,77.684757505773675,-2.0785219399538022
learned,456,78.57967667436489,78.233256351039259,-0.34642032332563133
learned,789,78.608545034642034,78.002309468822176,-0.60623556581985838
learned,1011,79.359122401847571,77.742494226327949,-1.6166281755196223
learned,1213,79.44572748267899,78.11778290993071,-1.3279445727482795
sinusoidal,42,81.812933025404163,78.724018475750583,-3.0889145496535804
sinusoidal,123,81.408775981524244,78.666281755196309,-2.7424942263279348
sinusoidal,456,81.206697459584291,77.829099307159353,-3.3775981524249374
sinusoidal,789,81.697459584295615,79.301385681293297,-2.3960739030023177
sinusoidal,1011,82.245958429561199,78.146651270207855,-4.0993071593533443
sinusoidal,1213,80.687066974595837,78.55080831408776,-2.1362586605080764
rope,42,84.353348729792145,83.083140877598154,-1.270207852193991
rope,123,83.92032332563511,83.05427251732101,-0.86605080831409964
rope,456,84.151270207852193,82.419168591224022,-1.7321016166281709
rope,789,84.728637413394921,83.05427251732101,-1.6743648960739108
rope,1011,84.180138568129337,82.938799076212476,-1.241339491916861
rope,1213,84.324480369515015,82.390300230946877,-1.9341801385681379
