dataset,family,seed,clean_accuracy_percent,n_eval,n_identical_copies,architecture,checkpoint_sha256
imagenet,learned,42,79.44572748267899,3464,2,vitb_amp,
imagenet,learned,123,79.763279445727477,3464,2,vitb_amp,
imagenet,learned,456,78.57967667436489,3464,2,vitb_amp,
imagenet,learned,789,78.608545034642034,3464,2,vitb_amp,
imagenet,learned,1011,79.359122401847571,3464,2,vitb_amp,
imagenet,learned,1213,79.44572748267899,3464,2,vitb_amp,
imagenet,rope,42,84.353348729792145,3464,2,vitb_amp,
imagenet,rope,123,83.92032332563511,3464,2,vitb_amp,
imagenet,rope,456,84.151270207852193,3464,2,vitb_amp,
imagenet,rope,789,84.728637413394921,3464,2,vitb_amp,
imagenet,rope,1011,84.180138568129337,3464,2,vitb_amp,
imagenet,rope,1213,84.324480369515015,3464,2,vitb_amp,
imagenet,sinusoidal,42,81.812933025404163,3464,2,vitb_amp,
imagenet,sinusoidal,123,81.408775981524244,3464,2,vitb_amp,
imagenet,sinusoidal,456,81.206697459584291,3464,2,vitb_amp,
imagenet,sinusoidal,789,81.697459584295615,3464,2,vitb_amp,
imagenet,sinusoidal,1011,82.245958429561199,3464,2,vitb_amp,
imagenet,sinusoidal,1213,80.687066974595837,3464,2,vitb_amp,
,learned,42,77.800230946882223,,,vits_amp,a518ec4ba5478539e85b8a3841e847cd014e7f1eddc7e48752bfe105b68ace26
,learned,123,77.684757505773675,,,vits_amp,c04bd01615a897d713e5e0deb94afea0cdc0e0367d09a14846ab46b93bf82524
,learned,456,78.233256351039259,,,vits_amp,15b9148ce290ad2cc432c34e751f10ce678e76b4fd704313c0f6cdef5408f222
,learned,789,78.002309468822176,,,vits_amp,107ecd195116e3f41ed758645d7e77c3e12582a43c1673e8c42b6640c7ec453a
,learned,1011,77.742494226327949,,,vits_amp,c57a22703d2a37a8c1c0041bfa7dcc2a054c112b829d92a30116cfd06fe00592
,learned,1213,78.11778290993071,,,vits_amp,7cd43655ddc4cd4008055eb62ba9048f332125acd0dc769d224006009674019f
,rope,42,83.083140877598154,,,vits_amp,c9de34a6d06d4c08dee582b11fd8a456e93ac77d56dfac05a9d8e8125ba8d2e0
,rope,123,83.05427251732101,,,vits_amp,736a6b26c95e44c99d51f6b5c97e90f0bc2282420761f3d057a6c05b9420ebdf
,rope,456,82.419168591224022,,,vits_amp,afccc95dea9425eeccea6fa3ae919a98e6d37a03c2d65760e723f14a94fd483d
,rope,789,83.05427251732101,,,vits_amp,37059d969b133c5960f298b0480a7f92e059201e5c74e54b31ed8c1f60df4eb6
,rope,1011,82.938799076212476,,,vits_amp,bd31958a651c58b3b804a775df67b769941b289100fd57d59d8ff40307afd919
,rope,1213,82.390300230946877,,,vits_amp,de2db9d7c086cd170a62f383f2cddcf3d11406787970665323da0422dc1df5c3
,sinusoidal,42,78.724018475750583,,,vits_amp,aad17cbc3a7e958cd92ddc6ab86f4dab3016af3a8ce6526f22753cd15df07a03
,sinusoidal,123,78.666281755196309,,,vits_amp,d88bc3cfb78ed6e0e82a08109d1a16c549ea893c954dcc1ccd142e807b76017a
,sinusoidal,456,77.829099307159353,,,vits_amp,cd34b3e262684bb6f627fd5c3a89181df625f7754d9385d824f0b71c366ebc3c
,sinusoidal,789,79.301385681293297,,,vits_amp,05a9fc46754ba4f5206c9df82f4ef32fd94bc964ce5a4f38961c66f88ffa4ace
,sinusoidal,1011,78.146651270207855,,,vits_amp,2356225aac14382d663eead5ea16c6a32792c1aaa987b2c59a6a594cc4ad5f0e
,sinusoidal,1213,78.55080831408776,,,vits_amp,f4da72c95229aa3daf2e0cf775524c92305784ee52c73d0d8dfe9d2f7d7e493e
