architecture,family,seed,curve,max_rho,n_points
vitb_amp,learned,42,attack,0.2514887939300437,11
vitb_amp,learned,42,noise,0.12811379442870871,9
vitb_amp,learned,123,attack,0.1739303279856651,11
vitb_amp,learned,123,noise,0.1263049597621751,9
vitb_amp,learned,456,attack,0.20725424161931391,11
vitb_amp,learned,456,noise,0.11555340846587001,9
vitb_amp,learned,789,attack,0.2434375123676773,11
vitb_amp,learned,789,noise,0.1383340185466464,9
vitb_amp,learned,1011,attack,0.16570626423074561,11
vitb_amp,learned,1011,noise,0.13155153246648649,9
vitb_amp,learned,1213,attack,0.18344720973461701,11
vitb_amp,learned,1213,noise,0.1289144060624228,9
vitb_amp,sinusoidal,42,attack,0.098674872144157502,9
vitb_amp,sinusoidal,42,noise,0.1811554290939989,6
vitb_amp,sinusoidal,123,attack,0.097466277339327806,9
vitb_amp,sinusoidal,123,noise,0.1805116374003066,6
vitb_amp,sinusoidal,456,attack,0.098351897986218698,9
vitb_amp,sinusoidal,456,noise,0.1834249004184399,6
vitb_amp,sinusoidal,789,attack,0.1018848168534911,9
vitb_amp,sinusoidal,789,noise,0.18468987134887829,6
vitb_amp,sinusoidal,1011,attack,0.095748114392128297,9
vitb_amp,sinusoidal,1011,noise,0.18656388633627999,6
vitb_amp,sinusoidal,1213,attack,0.098265310997010996,9
vitb_amp,sinusoidal,1213,noise,0.1805925295301252,6
vitb_amp,rope,42,attack,0.176901511386934,11
vitb_amp,rope,42,noise,0.40018702825550961,6
vitb_amp,rope,123,attack,0.14415854635621569,11
vitb_amp,rope,123,noise,0.396541476866904,6
vitb_amp,rope,456,attack,0.14678083606675321,11
vitb_amp,rope,456,noise,0.40085872274090301,6
vitb_amp,rope,789,attack,0.1496203415646222,11
vitb_amp,rope,789,noise,0.40470396989170049,6
vitb_amp,rope,1011,attack,0.17046010676121459,11
vitb_amp,rope,1011,noise,0.3952429742694506,6
vitb_amp,rope,1213,attack,0.15863692245894909,11
vitb_amp,rope,1213,noise,0.40959589556059017,6
vits_amp,learned,42,attack,0.11184532304847106,7
vits_amp,learned,42,noise,0.23261875027010884,9
vits_amp,learned,123,attack,0.099523853759162673,7
vits_amp,learned,123,noise,0.2366683222930849,9
vits_amp,learned,456,attack,0.10250007858335218,7
vits_amp,learned,456,noise,0.23536823636424575,9
vits_amp,learned,789,attack,0.10131931139064532,7
vits_amp,learned,789,noise,0.24571558432197799,9
vits_amp,learned,1011,attack,0.24749272810274703,7
vits_amp,learned,1011,noise,0.2506697461533004,9
vits_amp,learned,1213,attack,0.25756594688329382,7
vits_amp,learned,1213,noise,0.24591877471212889,9
vits_amp,sinusoidal,42,attack,0.091049149211789304,10
vits_amp,sinusoidal,42,noise,0.36800373647719109,7
vits_amp,sinusoidal,123,attack,0.089580914834702693,10
vits_amp,sinusoidal,123,noise,0.34888428839711305,7
vits_amp,sinusoidal,456,attack,0.097093981091807322,10
vits_amp,sinusoidal,456,noise,0.37990518626561026,7
vits_amp,sinusoidal,789,attack,0.093993855910129473,10
vits_amp,sinusoidal,789,noise,0.3723568728480473,7
vits_amp,sinusoidal,1011,attack,0.087345571591429264,10
vits_amp,sinusoidal,1011,noise,0.38384550255408406,7
vits_amp,sinusoidal,1213,attack,0.093707545456032035,10
vits_amp,sinusoidal,1213,noise,0.37680431837410955,7
vits_amp,rope,42,attack,0.1212689244789277,7
vits_amp,rope,42,noise,0.57845703612387323,8
vits_amp,rope,123,attack,0.12804234538442083,7
vits_amp,rope,123,noise,0.55827047811382891,8
vits_amp,rope,456,attack,0.10646703102864417,7
vits_amp,rope,456,noise,0.54722208105291881,8
vits_amp,rope,789,attack,0.13858794456698123,7
vits_amp,rope,789,noise,0.55628110819069454,8
vits_amp,rope,1011,attack,0.12239400296280072,7
vits_amp,rope,1011,noise,0.56509774580564165,8
vits_amp,rope,1213,attack,0.12187545140730031,7
vits_amp,rope,1213,noise,0.57035775796785626,8
