architecture,seed,q80_status,q50_status,q20_status,q80_epsilon,q80_rho,q50_epsilon,q50_rho,q20_epsilon,q20_rho,max_rho,min_accuracy
vitb_amp,42,IDENTIFIED,IDENTIFIED,NOT_BRACKETED,0.0021347222222222219,0.21375233592818543,0.0024168653158522049,0.24270031019140306,,,0.2514887939300437,0.39861918604651159
vits_amp,42,IDENTIFIED,IDENTIFIED,IDENTIFIED,0.0050646108663729809,0.068380067861168334,0.0054603524229074893,0.085934345226124281,0.0058560939794419977,0.10348862259108021,0.11184532304847106,0.076808905380333942
vitb_amp,123,IDENTIFIED,NOT_BRACKETED,NOT_BRACKETED,0.0021987841945288753,0.14893544744458995,,,,,0.1739303279856651,0.50814332247557004
vits_amp,123,IDENTIFIED,IDENTIFIED,IDENTIFIED,0.0045699570815450636,0.056512403933534246,0.0053904899135446688,0.076609697144531946,0.0066557874762808349,0.092846477092094176,0.099523853759162673,0.068376068376068369
vitb_amp,456,IDENTIFIED,NOT_BRACKETED,NOT_BRACKETED,0.0024224248927038625,0.19992432228251344,,,,,0.20725424161931391,0.74687729610580456
vits_amp,456,IDENTIFIED,IDENTIFIED,IDENTIFIED,0.0045485678704856782,0.05177527556419298,0.0048016811955168123,0.076053847448441417,0.0055072046109510085,0.098841793754213397,0.10250007858335218,0.068265682656826573
vitb_amp,789,IDENTIFIED,IDENTIFIED,NOT_BRACKETED,0.0017997088791848618,0.17484835092931797,0.0021083333333333332,0.212555217757561,,,0.2434375123676773,0.24605214836577299
vits_amp,789,IDENTIFIED,IDENTIFIED,IDENTIFIED,0.0050436828644501277,0.057129629514128213,0.0054583120204603581,0.076288891457380659,0.0058729411764705886,0.09544815340063309,0.10131931139064532,0.073649148778682449
vitb_amp,1011,IDENTIFIED,NOT_BRACKETED,NOT_BRACKETED,0.0023489733059548256,0.15069634733872345,,,,,0.16570626423074561,0.69297926518734088
vits_amp,1011,IDENTIFIED,IDENTIFIED,IDENTIFIED,0.0022013623978201628,0.18160706179310557,0.003438125894134478,0.24498960282807575,0.0040468619246861928,0.23933890999448346,0.24749272810274703,0.047530634979576679
vitb_amp,1213,IDENTIFIED,IDENTIFIED,NOT_BRACKETED,0.0021275665399239541,0.12872465910925171,0.0024069060773480662,0.1472871245439735,,,0.18344720973461701,0.37754360465116271
vits_amp,1213,IDENTIFIED,IDENTIFIED,IDENTIFIED,0.004073546756529065,0.065838256313012058,0.0042445240101095195,0.14205803767842223,0.0044155012636899749,0.21827781904383237,0.25756594688329382,0.021803399852180341
