dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources,architecture,source_index
imagenet,learned,42,0.0025000000000000001,0.0039132429736567003,1.0003270348837208,10,0.00012738951587559999,0.00026811947215559998,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,0
imagenet,learned,42,0.0050000000000000001,0.0078235032824874994,1.0003633720930232,10,0.00025915096675420001,0.00034259049476080002,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,1
imagenet,learned,42,0.01,0.015754079717914898,1.0003633720930232,10,0.00053970108021780003,0.00061761379767349999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,2
imagenet,learned,42,0.02,0.0321606492055466,1.0000726744186046,10,0.0011175111067025,0.0012909799025653001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,3
imagenet,learned,42,0.040000000000000001,0.065617874871106097,0.99887354651162796,10,0.0016400975749739999,0.0018564011300065001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,4
imagenet,learned,42,0.050000000000000003,0.081785846349924501,0.99771075581395363,10,0.0015772730273082001,0.0023489944054454,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,5
imagenet,learned,42,0.059999999999999998,0.097521016994871895,0.9963299418604652,10,0.0014667698482021001,0.0025719968559863001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,6
imagenet,learned,42,0.080000000000000002,0.12811379442870871,0.99469476744186036,10,0.0013284481034759,0.0028877350911212002,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,7
imagenet,learned,123,0.0025000000000000001,0.0036331867422049,0.99996380745566404,10,0.0001020611574366,0.00020544560702039999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,0
imagenet,learned,123,0.0050000000000000001,0.0072562535697033,0.99989142236699236,10,0.0001918917655098,0.00029796330160990003,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,1
imagenet,learned,123,0.01,0.0145975248010622,0.99938472674629042,10,0.00034658286582620003,0.00063951541950520001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,2
imagenet,learned,123,0.02,0.029897669200698598,0.99847991313789364,10,0.00066229677805549995,0.0014755830475492999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,3
imagenet,learned,123,0.040000000000000001,0.062565971375208099,0.9955845095910244,10,0.001268580633778,0.0017466001757368999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,4
imagenet,learned,123,0.050000000000000003,0.079048496217972095,0.99439015562794064,10,0.0013992100564263,0.0016738372452058,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,5
imagenet,learned,123,0.059999999999999998,0.095204551218742398,0.99326818675352879,10,0.0014016138258840999,0.0016992946663441999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,6
imagenet,learned,123,0.080000000000000002,0.1263049597621751,0.98950416214259884,10,0.0012009428179193999,0.002484167002289,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,7
imagenet,learned,456,0.0025000000000000001,0.0033004859736081001,1.0001836884643645,10,0.00010281531274930001,0.0002597747175556,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,0
imagenet,learned,456,0.0050000000000000001,0.0065944710949339003,1.0001469507714915,10,0.0002090385176403,0.00046469914183220001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,1
imagenet,learned,456,0.01,0.0132612716519457,1,10,0.00043025529162590002,0.00081230095281779999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,2
imagenet,learned,456,0.02,0.027015006308371899,0.99985304922850837,10,0.00087902679268870004,0.0010980412329884999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,3
