family,seed,metric,vitb_value,vits_value,delta_vits_minus_vitb
learned,42,attack_nauc,0.99701387461071189,0.87582276881045296,-0.12119110580025894
learned,123,attack_nauc,0.99425275632162236,0.80525928112279288,-0.18899347519882947
learned,456,attack_nauc,0.98981773561509667,0.78904714803902976,-0.20077058757606692
learned,789,attack_nauc,0.99325121635028746,0.78793990987258389,-0.20531130647770357
learned,1011,attack_nauc,0.99278541598128889,0.6659230818586368,-0.32686233412265209
learned,1213,attack_nauc,0.9952116209630506,0.72668308874682219,-0.26852853221622841
learned,42,noise_nauc,0.99941753141886391,0.99714524496602286,-0.0022722864528410547
learned,123,noise_nauc,0.99716264539541455,0.99761977527635737,0.00045712988094281926
learned,456,noise_nauc,0.99860041747311079,0.99479657683874434,-0.003803840634366451
learned,789,noise_nauc,0.9991101283551943,0.99700618748729364,-0.0021039408679006666
learned,1011,noise_nauc,0.99709659716530441,0.9980656678610772,0.00096907069577278904
learned,1213,noise_nauc,0.99701740714460174,0.99840631129155655,0.0013889041469548058
learned,42,noise_minus_attack_gap,0.0024036568081520215,0.1213224761555699,0.11891881934741788
learned,123,noise_minus_attack_gap,0.0029098890737921934,0.19236049415356449,0.18945060507977229
learned,456,noise_minus_attack_gap,0.0087826818580141186,0.20574942879971458,0.19696674694170047
learned,789,noise_minus_attack_gap,0.0058589120049068466,0.20906627761470975,0.2032073656098029
learned,1011,noise_minus_attack_gap,0.0043111811840155223,0.3321425860024404,0.32783140481842488
learned,1213,noise_minus_attack_gap,0.0018057861815511389,0.27172322254473436,0.26991743636318322
sinusoidal,42,attack_nauc,0.84769423316708181,0.68771454564931955,-0.15997968751776226
sinusoidal,123,attack_nauc,0.87845854334250539,0.74737097445423195,-0.13108756888827344
sinusoidal,456,attack_nauc,0.8996074809676331,0.70253372110925727,-0.19707375985837583
sinusoidal,789,attack_nauc,0.88503730881105425,0.71067657068336143,-0.17436073812769282
sinusoidal,1011,attack_nauc,0.8658601049963337,0.7158824494089765,-0.14997765558735721
sinusoidal,1213,attack_nauc,0.86511345296823272,0.71804899472040584,-0.14706445824782688
sinusoidal,42,noise_nauc,0.99924739175692812,0.9986000847876757,-0.00064730696925241471
sinusoidal,123,noise_nauc,0.99867984626341189,1.0009374037935581,0.0022575575301462258
sinusoidal,456,noise_nauc,0.99826852757057816,0.99893896852978736,0.00067044095920920643
sinusoidal,789,noise_nauc,0.99643902732900735,0.99984310729978609,0.0034040799707787395
sinusoidal,1011,noise_nauc,0.99785265164177661,0.99973343184297891,0.0018807802012023034
sinusoidal,1213,noise_nauc,0.99952733864869137,0.99633775902163646,-0.0031895796270549059
sinusoidal,42,noise_minus_attack_gap,0.1515531585898463,0.31088553913835615,0.15933238054850984
sinusoidal,123,noise_minus_attack_gap,0.12022130292090649,0.25356642933932616,0.13334512641841967
sinusoidal,456,noise_minus_attack_gap,0.098661046602945057,0.29640524742053009,0.19774420081758504
sinusoidal,789,noise_minus_attack_gap,0.11140171851795311,0.28916653661642466,0.17776481809847156
sinusoidal,1011,noise_minus_attack_gap,0.13199254664544291,0.28385098243400242,0.15185843578855951
sinusoidal,1213,noise_minus_attack_gap,0.13441388568045864,0.27828876430123062,0.14387487862077197
rope,42,attack_nauc,0.9627703038638602,0.80903465842981936,-0.15373564543404084
rope,123,attack_nauc,0.95148405401624814,0.88611587009884762,-0.065368183917400513
rope,456,attack_nauc,0.95827778533789787,0.8002886045149934,-0.15798918082290447
rope,789,attack_nauc,0.93531880831832059,0.9495485085685833,0.014229700250262711
rope,1011,attack_nauc,0.97061683144113076,0.8834837134225032,-0.087133118018627553
rope,1213,attack_nauc,0.9568669083050334,0.84763950298300439,-0.10922740532202901
rope,42,noise_nauc,0.9984105813556251,0.99929242864309842,0.00088184728747331409
rope,123,noise_nauc,0.9990197482907115,0.99879704917246448,-0.00022269911824701616
rope,456,noise_nauc,0.99938598810496648,0.99969934858659582,0.00031336048162933228
rope,789,noise_nauc,0.99952705673448317,0.99936295921852858,-0.00016409751595458655
rope,1011,noise_nauc,0.99858182235632953,0.9992239897262325,0.00064216736990296841
rope,1213,noise_nauc,0.9995378021031931,0.99887969732337178,-0.00065810477982131133
rope,42,noise_minus_attack_gap,0.035640277491764905,0.19025777021327905,0.15461749272151415
rope,123,noise_minus_attack_gap,0.047535694274463358,0.11268117907361686,0.065145484799153497
rope,456,noise_minus_attack_gap,0.041108202767068613,0.19941074407160242,0.15830254130453381
rope,789,noise_minus_attack_gap,0.064208248416162572,0.049814450649945274,-0.014393797766217298
rope,1011,noise_minus_attack_gap,0.027964990915198773,0.11574027630372929,0.087775285388530522
rope,1213,noise_minus_attack_gap,0.042670893798159693,0.1512401943403674,0.1085693005422077
