family,family_label,threshold,metric,identified_common_n,identified_common_seeds,full_n6_estimable,n,mean_delta_vits_minus_vitb,sd_delta,ci95_t_low,ci95_t_high,negative_deltas,positive_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta
learned,Learned,q80,epsilon,6,42;123;456;789;1011;1213,True,6,0.0020782579671140794,0.0011953451738031932,0.00082382013974734852,0.0033326957944808102,1,5,0,0.0625,-0.0001476109081346628,0.0032439739852652659
learned,Learned,q80,rho,6,42;123;456;789;1011;1213,True,6,-0.089273128008906785,0.067190737944649276,-0.1597854830789332,-0.018760772938880371,5,1,0,0.0625,-0.14814904671832047,0.030910714454382121
learned,Learned,q50,epsilon,3,42;789;1213,False,3,0.0027436945756479209,0.00079950949603618002,0.00075760288564194521,0.0047297862656538962,0,3,0,0.25,0.0018376179327614533,0.003349978687127025
learned,Learned,q50,rho,3,42;789;1213,False,3,-0.099420459377003459,0.082213562068817234,-0.30365026932947881,0.1048093505754719,3,0,0,0.25,-0.15676596496527878,-0.0052290868655512635
learned,Learned,q20,epsilon,0,,False,,,,,,,,,,,
learned,Learned,q20,rho,0,,False,,,,,,,,,,,
sinusoidal,Sinusoidal,q80,epsilon,6,42;123;456;789;1011;1213,True,6,-0.0007542992298996766,0.00063945127460598148,-0.0014253621874481077,-8.3236272351245601e-05,5,1,0,0.09375,-0.0012992172933101115,0.0003471297705084312
sinusoidal,Sinusoidal,q80,rho,6,42;123;456;789;1011;1213,True,6,-0.024896439591377512,0.0060901241789540249,-0.031287632956164137,-0.018505246226590888,6,0,0,0.03125,-0.033206067494733114,-0.019466860543693759
sinusoidal,Sinusoidal,q50,epsilon,6,42;123;456;789;1011;1213,True,6,-0.00087539075764961414,0.00070048637264650908,-0.0016105061223663205,-0.00014027539293290782,5,1,0,0.0625,-0.0014719818865990492,0.00033909414729343078
sinusoidal,Sinusoidal,q50,rho,6,42;123;456;789;1011;1213,True,6,-0.019326570454812137,0.0036642898056172949,-0.023172006771734456,-0.015481134137889818,6,0,0,0.03125,-0.026172769494660006,-0.016555961508946879
sinusoidal,Sinusoidal,q20,epsilon,6,42;123;456;789;1011;1213,True,6,-0.0028693776071567942,0.0017393480670849376,-0.0046947114589399198,-0.0010440437553736691,6,0,0,0.03125,-0.0048266661905514933,-0.00023196717820587326
sinusoidal,Sinusoidal,q20,rho,6,42;123;456;789;1011;1213,True,6,-0.011839278092990938,0.0021369040050865577,-0.014081821314965241,-0.0095967348710166347,6,0,0,0.03125,-0.014490604239244267,-0.0094195979852289835
rope,RoPE,q80,epsilon,6,42;123;456;789;1011;1213,True,6,-0.0013006180781895218,0.001694184523789035,-0.0030785556980139411,0.00047731954163489766,5,1,0,0.15625,-0.0034857015075307682,0.0017114030744588699
rope,RoPE,q80,rho,6,42;123;456;789;1011;1213,True,6,-0.02752756608398264,0.016779415224882768,-0.045136482437587909,-0.0099186497303773713,5,1,0,0.0625,-0.045193135215835623,0.0014074650564667307
rope,RoPE,q50,epsilon,6,42;123;456;789;1011;1213,True,6,-3.2776555610269008e-05,0.0018353640887745777,-0.0019588730425555284,0.0018933199313349903,4,2,0,0.96875,-0.0024255843185342768,0.0030095957479210067
rope,RoPE,q50,rho,6,42;123;456;789;1011;1213,True,6,-0.032989368423903785,0.020251661841075692,-0.054242184127050147,-0.011736552720757427,6,0,0,0.03125,-0.059950768926666592,-0.0018796467530300953
rope,RoPE,q20,epsilon,6,42;123;456;789;1011;1213,True,6,0.0088895339535209113,0.0022498384888064941,0.0065284732593576533,0.011250594647684169,0,6,0,0.03125,0.0060301567398119149,0.012110437029547255
rope,RoPE,q20,rho,6,42;123;456;789;1011;1213,True,6,-0.02410792638569172,0.019686502560143558,-0.044767643797209905,-0.0034482089741735313,5,1,0,0.0625,-0.047832016801014954,0.0063008573637365756
