family,threshold,metric,seed,vitb_value,vits_value,delta_vits_minus_vitb
learned,q80,epsilon,42,0.0021347222222222219,0.0050646108663729809,0.0029298886441507591
learned,q80,epsilon,123,0.0021987841945288753,0.0045699570815450636,0.0023711728870161883
learned,q80,epsilon,456,0.0024224248927038625,0.0045485678704856782,0.0021261429777818157
learned,q80,epsilon,789,0.0017997088791848618,0.0050436828644501277,0.0032439739852652659
learned,q80,epsilon,1011,0.0023489733059548256,0.0022013623978201628,-0.0001476109081346628
learned,q80,epsilon,1213,0.0021275665399239541,0.004073546756529065,0.0019459802166051109
learned,q80,rho,42,0.21375233592818543,0.068380067861168334,-0.14537226806701709
learned,q80,rho,123,0.14893544744458995,0.056512403933534246,-0.092423043511055708
learned,q80,rho,456,0.19992432228251344,0.05177527556419298,-0.14814904671832047
learned,q80,rho,789,0.17484835092931797,0.057129629514128213,-0.11771872141518976
learned,q80,rho,1011,0.15069634733872345,0.18160706179310557,0.030910714454382121
learned,q80,rho,1213,0.12872465910925171,0.065838256313012058,-0.062886402796239652
learned,q50,epsilon,42,0.0024168653158522049,0.0054603524229074893,0.0030434871070552844
learned,q50,epsilon,789,0.0021083333333333332,0.0054583120204603581,0.003349978687127025
learned,q50,epsilon,1213,0.0024069060773480662,0.0042445240101095195,0.0018376179327614533
learned,q50,rho,42,0.24270031019140306,0.085934345226124281,-0.15676596496527878
learned,q50,rho,789,0.212555217757561,0.076288891457380659,-0.13626632630018035
learned,q50,rho,1213,0.1472871245439735,0.14205803767842223,-0.0052290868655512635
sinusoidal,q80,epsilon,42,0.0071464387464387465,0.0060482946793997266,-0.0010981440670390199
sinusoidal,q80,epsilon,123,0.0067343096234309622,0.0070814393939393934,0.0003471297705084312
sinusoidal,q80,epsilon,456,0.0076973568281938328,0.0063981395348837213,-0.0012992172933101115
sinusoidal,q80,epsilon,789,0.0073406813627254503,0.0063747826086956528,-0.00096589875402979756
sinusoidal,q80,epsilon,1011,0.0072742659758203805,0.0069503649635036498,-0.00032390101231673067
sinusoidal,q80,epsilon,1213,0.0073236363636363638,0.0061378723404255323,-0.0011857640232108314
sinusoidal,q80,rho,42,0.06432150468031976,0.044665759073986296,-0.019655745606333465
sinusoidal,q80,rho,123,0.068204030920327591,0.047017746995512644,-0.021186283924814947
sinusoidal,q80,rho,456,0.073930495301928759,0.040724427807195644,-0.033206067494733114
sinusoidal,q80,rho,789,0.071874270533401091,0.040250521933244882,-0.03162374860015621
sinusoidal,q80,rho,1011,0.067248834497004639,0.04300890311847106,-0.024239931378533579
sinusoidal,q80,rho,1213,0.065991984243045268,0.046525123699351509,-0.019466860543693759
sinusoidal,q50,epsilon,42,0.0083495821727019495,0.0071169902912621361,-0.0012325918814398134
sinusoidal,q50,epsilon,123,0.0079944674965421857,0.0083335616438356165,0.00033909414729343078
sinusoidal,q50,epsilon,456,0.0089992927864214981,0.0077128953771289539,-0.0012863974092925442
sinusoidal,q50,epsilon,789,0.0088637873754152819,0.0076668831168831171,-0.0011969042585321648
sinusoidal,q50,epsilon,1011,0.0086068435754189949,0.008203280318091451,-0.00040356325732754383
sinusoidal,q50,epsilon,1213,0.0087046827794561923,0.0072327008928571431,-0.0014719818865990492
sinusoidal,q50,rho,42,0.081447673793417205,0.063759990280169515,-0.01768768351324769
sinusoidal,q50,rho,123,0.088028537927257636,0.071234385513579523,-0.016794152413678112
sinusoidal,q50,rho,456,0.092649078051983969,0.066476308557323963,-0.026172769494660006
sinusoidal,q50,rho,789,0.088648361245767263,0.067953950115381898,-0.020694411130385365
sinusoidal,q50,rho,1011,0.084930822336675843,0.068374860827728964,-0.016555961508946879
sinusoidal,q50,rho,1213,0.084977370863862367,0.066922926195907603,-0.018054444667954764
sinusoidal,q20,epsilon,42,0.0098496674057649662,0.0079960187353629985,-0.0018536486704019677
sinusoidal,q20,epsilon,123,0.0098674351585014402,0.0096354679802955669,-0.00023196717820587326
