endpoint_multiplier,endpoint,family,metric,contrast,mean,sd,ci95_low,ci95_high,positive_seeds,exact_sign_flip_p
1.0,0.07923839733806452,learned,noise_nauc,vits_minus_vitb,-0.0002554035011542351,0.0015491203273558338,-0.0014219106984047862,0.0008257637061367581,3,0.71875
1.0,0.07923839733806452,learned,adversarial_nauc,vits_minus_vitb,-0.1435139431838463,0.0364299416181993,-0.16674833411084586,-0.11438898364362837,0,0.03125
1.0,0.07923839733806452,learned,gap,vits_minus_vitb,0.14325853968269206,0.036958455381257034,0.1136200991563796,0.16668333030274185,6,0.03125
1.0,0.07923839733806452,sinusoidal,noise_nauc,vits_minus_vitb,0.0003382911124949854,0.001362653904877071,-0.000671590426175169,0.0012315804221262698,4,0.59375
1.0,0.07923839733806452,sinusoidal,adversarial_nauc,vits_minus_vitb,-0.13705868432320154,0.04221271629592727,-0.1688035716777642,-0.10674384477091466,0,0.03125
1.0,0.07923839733806452,sinusoidal,gap,vits_minus_vitb,0.1373969754356965,0.04238742061036854,0.10692689616104127,0.16906946134858689,6,0.03125
1.0,0.07923839733806452,rope,noise_nauc,vits_minus_vitb,5.906575034501464e-06,0.0006133001682405004,-0.00041283808179346887,0.0004451029826832246,3,0.96875
1.0,0.07923839733806452,rope,adversarial_nauc,vits_minus_vitb,-0.1007406308619823,0.03751873484501749,-0.12310168738107828,-0.07060760720913767,0,0.03125
1.0,0.07923839733806452,rope,gap,vits_minus_vitb,0.1007465374370168,0.0371126896027996,0.07089718793665484,0.12294438815785057,6,0.03125
1.0,0.07923839733806452,alibi,noise_nauc,vits_minus_vitb,0.003179491457762399,0.010624989605769877,-0.004332745942456362,0.011057636100146798,3,0.46875
1.0,0.07923839733806452,alibi,adversarial_nauc,vits_minus_vitb,0.03450389503616663,0.015466638998497742,0.021704932716265595,0.04221471457998658,6,0.03125
1.0,0.07923839733806452,alibi,gap,vits_minus_vitb,-0.031324403578404235,0.021615184864219823,-0.044467483479293614,-0.013818518037064095,1,0.0625
0.9,0.07131455760425807,learned,noise_nauc,vits_minus_vitb,-0.0003179214634607315,0.0013886421652270736,-0.0013419275850867034,0.0006614179284310887,3,0.625
0.9,0.07131455760425807,learned,adversarial_nauc,vits_minus_vitb,-0.10946464618324538,0.027343584944830142,-0.12750573147064373,-0.08807819582577407,0,0.03125
0.9,0.07131455760425807,learned,gap,vits_minus_vitb,0.10914672471978465,0.02772538051411259,0.08751472300002261,0.12730767410445618,6,0.03125
0.9,0.07131455760425807,sinusoidal,noise_nauc,vits_minus_vitb,0.0004159869668979299,0.0012204112937402594,-0.0004730561824058584,0.0012170175664637146,4,0.4375
0.9,0.07131455760425807,sinusoidal,adversarial_nauc,vits_minus_vitb,-0.11183460746060235,0.03311212993528862,-0.13649900477493349,-0.08798049046696459,0,0.03125
0.9,0.07131455760425807,sinusoidal,gap,vits_minus_vitb,0.11225059442750028,0.03312238837017029,0.0889209951823184,0.1367736256528425,6,0.03125
0.9,0.07131455760425807,rope,noise_nauc,vits_minus_vitb,6.957149312739978e-06,0.000576583306298653,-0.00037391003814292906,0.0004285235939209449,3,1.0
0.9,0.07131455760425807,rope,adversarial_nauc,vits_minus_vitb,-0.07086774870788015,0.028321750931752,-0.08765668664164446,-0.048041717695143295,0,0.03125
0.9,0.07131455760425807,rope,gap,vits_minus_vitb,0.0708747058571929,0.027896352431342173,0.04832753506800155,0.08733523904317125,6,0.03125
0.9,0.07131455760425807,alibi,noise_nauc,vits_minus_vitb,0.0027357790674302773,0.008404472762707836,-0.003236467896014931,0.008795549170055336,3,0.4375
0.9,0.07131455760425807,alibi,adversarial_nauc,vits_minus_vitb,0.027644448650740765,0.012296462879153409,0.01740355604701856,0.03412576283884117,6,0.03125
0.9,0.07131455760425807,alibi,gap,vits_minus_vitb,-0.024908669583310488,0.016811097270407225,-0.03460657429796493,-0.011314436637952618,1,0.0625
0.75,0.05942879800354839,learned,noise_nauc,vits_minus_vitb,-0.00039518343625257374,0.0011480106778955956,-0.0012105136131693357,0.0004201467406641883,3,0.4375
0.75,0.05942879800354839,learned,adversarial_nauc,vits_minus_vitb,-0.07003273414419497,0.015377255686232227,-0.08028732295142223,-0.057972202857643006,0,0.03125
0.75,0.05942879800354839,learned,gap,vits_minus_vitb,0.0696375507079424,0.01565704025826861,0.05716296336042189,0.07981142446295682,6,0.03125
0.75,0.05942879800354839,sinusoidal,noise_nauc,vits_minus_vitb,0.0004752942387664845,0.0010198159326586693,-0.00025446723170824415,0.0011724327184933585,4,0.25
0.75,0.05942879800354839,sinusoidal,adversarial_nauc,vits_minus_vitb,-0.07764415146299447,0.02320391845837129,-0.09468888715727959,-0.06119814694776715,0,0.03125
0.75,0.05942879800354839,sinusoidal,gap,vits_minus_vitb,0.07811944570176095,0.023052569501204895,0.06139636532620435,0.0951570007032113,6,0.03125
0.75,0.05942879800354839,rope,noise_nauc,vits_minus_vitb,1.1073311774874769e-05,0.0005147157676328201,-0.0003246100198386892,0.00039568866865935526,3,1.0
0.75,0.05942879800354839,rope,adversarial_nauc,vits_minus_vitb,-0.03629363403981267,0.013247784555882462,-0.04482586239573808,-0.02569687032327998,0,0.03125
0.75,0.05942879800354839,rope,gap,vits_minus_vitb,0.03630470735158755,0.012781416179758571,0.02588488911275742,0.04449886134563794,6,0.03125
0.75,0.05942879800354839,alibi,noise_nauc,vits_minus_vitb,0.0013897586436691367,0.005605839643727006,-0.002596019661683824,0.005416122458118881,3,0.53125
0.75,0.05942879800354839,alibi,adversarial_nauc,vits_minus_vitb,0.019024432594049956,0.007895994854400493,0.012685995609977074,0.023803601160603354,6,0.03125
