architecture,family,seed,regime,max_rho,n_points
vitb,learned,42,noise,0.1281137944287087,9
vitb,learned,42,adversarial,0.2514887939300437,11
vitb,learned,42,adversarial_raw,0.2514887939300437,11
vitb,learned,123,noise,0.1263049597621751,9
vitb,learned,123,adversarial,0.1739303279856651,11
vitb,learned,123,adversarial_raw,0.1739303279856651,11
vitb,learned,456,noise,0.11555340846587,9
vitb,learned,456,adversarial,0.2072542416193139,11
vitb,learned,456,adversarial_raw,0.2072542416193139,11
vitb,learned,789,noise,0.1383340185466464,9
vitb,learned,789,adversarial,0.2434375123676773,11
vitb,learned,789,adversarial_raw,0.2434375123676773,11
vitb,learned,1011,noise,0.1315515324664865,9
vitb,learned,1011,adversarial,0.1657062642307456,11
vitb,learned,1011,adversarial_raw,0.1657062642307456,11
vitb,learned,1213,noise,0.1289144060624228,9
vitb,learned,1213,adversarial,0.183447209734617,11
vitb,learned,1213,adversarial_raw,0.183447209734617,11
vitb,sinusoidal,42,noise,0.1811554290939989,6
vitb,sinusoidal,42,adversarial,0.0986748721441575,9
vitb,sinusoidal,42,adversarial_raw,0.0986748721441575,9
vitb,sinusoidal,123,noise,0.1805116374003066,6
vitb,sinusoidal,123,adversarial,0.0974662773393278,9
vitb,sinusoidal,123,adversarial_raw,0.0974662773393278,9
vitb,sinusoidal,456,noise,0.1834249004184399,6
vitb,sinusoidal,456,adversarial,0.0983518979862187,9
vitb,sinusoidal,456,adversarial_raw,0.0983518979862187,9
vitb,sinusoidal,789,noise,0.1846898713488783,6
vitb,sinusoidal,789,adversarial,0.1018848168534911,9
vitb,sinusoidal,789,adversarial_raw,0.1018848168534911,9
vitb,sinusoidal,1011,noise,0.18656388633628,6
vitb,sinusoidal,1011,adversarial,0.0957481143921283,9
vitb,sinusoidal,1011,adversarial_raw,0.0957481143921283,9
vitb,sinusoidal,1213,noise,0.1805925295301252,6
vitb,sinusoidal,1213,adversarial,0.098265310997011,9
vitb,sinusoidal,1213,adversarial_raw,0.098265310997011,9
vitb,rope,42,noise,0.4001870282555096,6
vitb,rope,42,adversarial,0.176901511386934,11
vitb,rope,42,adversarial_raw,0.176901511386934,11
vitb,rope,123,noise,0.396541476866904,6
vitb,rope,123,adversarial,0.1441585463562157,11
vitb,rope,123,adversarial_raw,0.1441585463562157,11
vitb,rope,456,noise,0.400858722740903,6
vitb,rope,456,adversarial,0.1467808360667532,11
vitb,rope,456,adversarial_raw,0.1467808360667532,11
vitb,rope,789,noise,0.4047039698917005,6
vitb,rope,789,adversarial,0.1496203415646222,11
vitb,rope,789,adversarial_raw,0.1496203415646222,11
vitb,rope,1011,noise,0.3952429742694506,6
vitb,rope,1011,adversarial,0.1704601067612146,11
vitb,rope,1011,adversarial_raw,0.1704601067612146,11
vitb,rope,1213,noise,0.4095958955605902,6
vitb,rope,1213,adversarial,0.1586369224589491,11
vitb,rope,1213,adversarial_raw,0.1586369224589491,11
vitb,alibi,42,noise,0.2178759676487305,7
vitb,alibi,42,adversarial,0.1204982513921675,8
vitb,alibi,42,adversarial_raw,0.1204982513921675,8
vitb,alibi,123,noise,0.2186505950233835,7
vitb,alibi,123,adversarial,0.1230787324814036,8
vitb,alibi,123,adversarial_raw,0.1230787324814036,8
vitb,alibi,456,noise,0.2186429243965249,7
vitb,alibi,456,adversarial,0.1223172974264593,8
vitb,alibi,456,adversarial_raw,0.1223172974264593,8
vitb,alibi,789,noise,0.2177800696441842,7
vitb,alibi,789,adversarial,0.1211948664481268,8
vitb,alibi,789,adversarial_raw,0.1211948664481268,8
vitb,alibi,1011,noise,0.2183042996777477,7
vitb,alibi,1011,adversarial,0.1233267700548234,8
vitb,alibi,1011,adversarial_raw,0.1233267700548234,8
vitb,alibi,1213,noise,0.2238059378764028,7
vitb,alibi,1213,adversarial,0.1291839748739271,8
vitb,alibi,1213,adversarial_raw,0.1291839748739271,8
vits,learned,42,noise,0.25024666605102847,9
vits,learned,42,adversarial,0.12014637512011779,7
vits,learned,42,adversarial_raw,0.12014637512011779,7
vits,learned,123,noise,0.23928672393639863,9
vits,learned,123,adversarial,0.09492790714885053,7
vits,learned,123,adversarial_raw,0.09492790714885053,7
vits,learned,456,noise,0.2491078530329555,9
vits,learned,456,adversarial,0.10238845985618027,7
vits,learned,456,adversarial_raw,0.10238845985618027,7
vits,learned,789,noise,0.2493113825872489,9
vits,learned,789,adversarial,0.1280946161241568,7
vits,learned,789,adversarial_raw,0.1280946161241568,7
vits,learned,1011,noise,0.2535911915473067,9
vits,learned,1011,adversarial,0.10621422160310269,7
vits,learned,1011,adversarial_raw,0.10621422160310269,7
vits,learned,1213,noise,0.2468008674203276,9
vits,learned,1213,adversarial,0.09832747088779775,7
vits,learned,1213,adversarial_raw,0.09832747088779775,7
vits,sinusoidal,42,noise,0.35968746785706596,7
vits,sinusoidal,42,adversarial,0.0959505328260359,10
vits,sinusoidal,42,adversarial_raw,0.0959505328260359,10
vits,sinusoidal,123,noise,0.3615233642811196,7
vits,sinusoidal,123,adversarial,0.08809552955874674,10
vits,sinusoidal,123,adversarial_raw,0.08809552955874674,10
vits,sinusoidal,456,noise,0.37828438107892015,7
vits,sinusoidal,456,adversarial,0.07923839733806452,10
vits,sinusoidal,456,adversarial_raw,0.07923839733806452,10
vits,sinusoidal,789,noise,0.341046683319566,7
vits,sinusoidal,789,adversarial,0.0936335072829131,10
vits,sinusoidal,789,adversarial_raw,0.0936335072829131,10
vits,sinusoidal,1011,noise,0.38760263594348654,7
vits,sinusoidal,1011,adversarial,0.09298513832292592,10
vits,sinusoidal,1011,adversarial_raw,0.09298513832292592,10
vits,sinusoidal,1213,noise,0.38138297843951496,7
vits,sinusoidal,1213,adversarial,0.08769570668589602,10
vits,sinusoidal,1213,adversarial_raw,0.08769570668589602,10
vits,rope,42,noise,0.5882034453330317,7
vits,rope,42,adversarial,0.11519102349761626,6
vits,rope,42,adversarial_raw,0.11519102349761626,6
vits,rope,123,noise,0.5785295698842448,7
vits,rope,123,adversarial,0.13021524753677913,6
vits,rope,123,adversarial_raw,0.13021524753677913,6
vits,rope,456,noise,0.5576932674361698,7
vits,rope,456,adversarial,0.11679496260213246,6
vits,rope,456,adversarial_raw,0.11679496260213246,6
vits,rope,789,noise,0.5670150142414376,7
vits,rope,789,adversarial,0.10411208324905995,6
vits,rope,789,adversarial_raw,0.10411208324905995,6
vits,rope,1011,noise,0.561173533664854,7
vits,rope,1011,adversarial,0.12291580692759205,6
vits,rope,1011,adversarial_raw,0.12291580692759205,6
vits,rope,1213,noise,0.5614506643233038,7
vits,rope,1213,adversarial,0.11552437829711201,6
vits,rope,1213,adversarial_raw,0.11552437829711201,6
vits,alibi,42,noise,0.4188431395570128,8
vits,alibi,42,adversarial,0.2355323845374887,8
vits,alibi,42,adversarial_raw,0.2355323845374887,8
vits,alibi,123,noise,0.4223619064738508,8
vits,alibi,123,adversarial,0.22574039528474596,8
vits,alibi,123,adversarial_raw,0.22574039528474596,8
vits,alibi,456,noise,0.42448846263133194,8
vits,alibi,456,adversarial,0.2277792383736225,8
vits,alibi,456,adversarial_raw,0.2277792383736225,8
vits,alibi,789,noise,0.42438284866683995,8
vits,alibi,789,adversarial,0.2426926769346969,8
vits,alibi,789,adversarial_raw,0.2426926769346969,8
vits,alibi,1011,noise,0.42146518511086206,8
vits,alibi,1011,adversarial,0.23964452224489274,8
vits,alibi,1011,adversarial_raw,0.23964452224489274,8
vits,alibi,1213,noise,0.4252227806191171,8
vits,alibi,1213,adversarial,0.24617401697936395,8
vits,alibi,1213,adversarial_raw,0.24617401697936395,8
