architecture,endpoint_multiplier,metric,rank,family,mean
vitb,1.0,noise_nauc,1,rope,0.9991673744453561
vitb,1.0,noise_nauc,2,sinusoidal,0.998446426248504
vitb,1.0,noise_nauc,3,learned,0.9983339482657173
vitb,1.0,noise_nauc,4,alibi,0.968471482519197
vitb,1.0,adversarial_nauc,1,learned,0.9944508676964049
vitb,1.0,adversarial_nauc,2,rope,0.9668936899380508
vitb,1.0,adversarial_nauc,3,sinusoidal,0.9034247512228237
vitb,1.0,adversarial_nauc,4,alibi,0.8701435445422375
vitb,1.0,gap_smallest_first,1,learned,0.0038830805693124693
vitb,1.0,gap_smallest_first,2,rope,0.03227368450730531
vitb,1.0,gap_smallest_first,3,sinusoidal,0.09502167502568025
vitb,1.0,gap_smallest_first,4,alibi,0.09832793797695956
vitb,0.9,noise_nauc,1,rope,0.9992528691507574
vitb,0.9,noise_nauc,2,learned,0.998589035124438
vitb,0.9,noise_nauc,3,sinusoidal,0.9985536820419486
vitb,0.9,noise_nauc,4,alibi,0.9742111233562655
vitb,0.9,adversarial_nauc,1,learned,0.9951077413015987
vitb,0.9,adversarial_nauc,2,rope,0.9748711062171579
vitb,0.9,adversarial_nauc,3,sinusoidal,0.9235292922350106
vitb,0.9,adversarial_nauc,4,alibi,0.8943448454215409
vitb,0.9,gap_smallest_first,1,learned,0.0034812938228392007
vitb,0.9,gap_smallest_first,2,rope,0.024381762933599487
vitb,0.9,gap_smallest_first,3,sinusoidal,0.0750243898069381
vitb,0.9,gap_smallest_first,4,alibi,0.07986627793472446
vitb,0.75,noise_nauc,1,rope,0.9993738284251471
vitb,0.75,noise_nauc,2,learned,0.9989501856610413
vitb,0.75,noise_nauc,3,sinusoidal,0.9987126031425725
vitb,0.75,noise_nauc,4,alibi,0.982014044027835
vitb,0.75,adversarial_nauc,1,learned,0.9959985940016599
vitb,0.75,adversarial_nauc,2,rope,0.9847804510667012
vitb,0.75,adversarial_nauc,3,sinusoidal,0.9439526985517749
vitb,0.75,adversarial_nauc,4,alibi,0.9252598375352091
vitb,0.75,gap_smallest_first,1,learned,0.002951591659381414
vitb,0.75,gap_smallest_first,2,rope,0.014593377358445922
vitb,0.75,gap_smallest_first,3,sinusoidal,0.05475990459079757
vitb,0.75,gap_smallest_first,4,alibi,0.05675420649262577
vits,1.0,noise_nauc,1,rope,0.9991732810203907
vits,1.0,noise_nauc,2,sinusoidal,0.998784717360999
vits,1.0,noise_nauc,3,learned,0.9980785447645631
vits,1.0,noise_nauc,4,alibi,0.9716509739769594
vits,1.0,adversarial_nauc,1,alibi,0.9046474395784041
vits,1.0,adversarial_nauc,2,rope,0.8661530590760685
vits,1.0,adversarial_nauc,3,learned,0.8509369245125585
vits,1.0,adversarial_nauc,4,sinusoidal,0.7663660668996223
vits,1.0,gap_smallest_first,1,alibi,0.06700353439855533
vits,1.0,gap_smallest_first,2,rope,0.13302022194432211
vits,1.0,gap_smallest_first,3,learned,0.14714162025200453
vits,1.0,gap_smallest_first,4,sinusoidal,0.23241865046137677
vits,0.9,noise_nauc,1,rope,0.9992598263000702
vits,0.9,noise_nauc,2,sinusoidal,0.9989696690088464
vits,0.9,noise_nauc,3,learned,0.9982711136609773
vits,0.9,noise_nauc,4,alibi,0.9769469024236956
vits,0.9,adversarial_nauc,1,alibi,0.9219892940722817
vits,0.9,adversarial_nauc,2,rope,0.9040033575092777
vits,0.9,adversarial_nauc,3,learned,0.8856430951183535
vits,0.9,adversarial_nauc,4,sinusoidal,0.8116946847744081
vits,0.9,gap_smallest_first,1,alibi,0.05495760835141398
vits,0.9,gap_smallest_first,2,rope,0.09525646879079237
vits,0.9,gap_smallest_first,3,learned,0.11262801854262385
vits,0.9,gap_smallest_first,4,sinusoidal,0.18727498423443836
vits,0.75,noise_nauc,1,rope,0.999384901736922
vits,0.75,noise_nauc,2,sinusoidal,0.999187897381339
vits,0.75,noise_nauc,3,learned,0.9985550022247885
vits,0.75,noise_nauc,4,alibi,0.9834038026715041
vits,0.75,adversarial_nauc,1,rope,0.9484868170268884
vits,0.75,adversarial_nauc,2,alibi,0.9442842701292591
vits,0.75,adversarial_nauc,3,learned,0.9259658598574648
vits,0.75,adversarial_nauc,4,sinusoidal,0.8663085470887802
vits,0.75,gap_smallest_first,1,alibi,0.03911953254224495
vits,0.75,gap_smallest_first,2,rope,0.050898084710033466
vits,0.75,gap_smallest_first,3,learned,0.07258914236732382
vits,0.75,gap_smallest_first,4,sinusoidal,0.1328793502925585
