architecture,family,seed,regime,point_index,rho,normalized_accuracy,clean_anchor,lower_envelope
vitb,learned,42,noise,0,0.0,1.0,True,False
vitb,learned,42,noise,1,0.0039132429736567,1.0003270348837208,False,False
vitb,learned,42,noise,2,0.0078235032824875,1.0003633720930232,False,False
vitb,learned,42,noise,3,0.0157540797179149,1.0003633720930232,False,False
vitb,learned,42,noise,4,0.0321606492055466,1.0000726744186046,False,False
vitb,learned,42,noise,5,0.0656178748711061,0.998873546511628,False,False
vitb,learned,42,noise,6,0.0817858463499245,0.9977107558139536,False,False
vitb,learned,42,noise,7,0.0975210169948719,0.9963299418604652,False,False
vitb,learned,42,noise,8,0.1281137944287087,0.9946947674418604,False,False
vitb,learned,42,adversarial,0,0.0,1.0,True,True
vitb,learned,42,adversarial,1,0.0094580343803468,0.99890988372093,False,True
vitb,learned,42,adversarial,2,0.0208024893192262,0.99890988372093,False,True
vitb,learned,42,adversarial,3,0.0490265617393639,0.998546511627907,False,True
vitb,learned,42,adversarial,4,0.1000219013858428,0.9880087209302324,False,True
vitb,learned,42,adversarial,5,0.12604614375043,0.9752906976744186,False,True
vitb,learned,42,adversarial,6,0.1512684182149666,0.9676598837209304,False,True
vitb,learned,42,adversarial,7,0.1743857990051786,0.962936046511628,False,True
vitb,learned,42,adversarial,8,0.2005369543674263,0.9127906976744184,False,True
vitb,learned,42,adversarial,9,0.2250603428306907,0.7034883720930232,False,True
vitb,learned,42,adversarial,10,0.2514887939300437,0.3986191860465116,False,True
vitb,learned,42,adversarial_raw,0,0.0,1.0,True,False
vitb,learned,42,adversarial_raw,1,0.0094580343803468,0.99890988372093,False,False
vitb,learned,42,adversarial_raw,2,0.0208024893192262,0.9996366279069766,False,False
vitb,learned,42,adversarial_raw,3,0.0490265617393639,0.998546511627907,False,False
vitb,learned,42,adversarial_raw,4,0.1000219013858428,0.9880087209302324,False,False
vitb,learned,42,adversarial_raw,5,0.12604614375043,0.9752906976744186,False,False
vitb,learned,42,adversarial_raw,6,0.1512684182149666,0.9676598837209304,False,False
vitb,learned,42,adversarial_raw,7,0.1743857990051786,0.962936046511628,False,False
vitb,learned,42,adversarial_raw,8,0.2005369543674263,0.9127906976744184,False,False
vitb,learned,42,adversarial_raw,9,0.2250603428306907,0.7034883720930232,False,False
vitb,learned,42,adversarial_raw,10,0.2514887939300437,0.3986191860465116,False,False
vitb,learned,123,noise,0,0.0,1.0,True,False
vitb,learned,123,noise,1,0.0036331867422049,0.999963807455664,False,False
vitb,learned,123,noise,2,0.0072562535697033,0.9998914223669924,False,False
vitb,learned,123,noise,3,0.0145975248010622,0.9993847267462904,False,False
vitb,learned,123,noise,4,0.0298976692006986,0.9984799131378936,False,False
vitb,learned,123,noise,5,0.0625659713752081,0.9955845095910244,False,False
vitb,learned,123,noise,6,0.0790484962179721,0.9943901556279406,False,False
vitb,learned,123,noise,7,0.0952045512187424,0.9932681867535288,False,False
vitb,learned,123,noise,8,0.1263049597621751,0.9895041621425988,False,False
vitb,learned,123,adversarial,0,0.0,1.0,True,True
vitb,learned,123,adversarial,1,0.0074484988462944,0.9996380745566414,False,True
vitb,learned,123,adversarial,2,0.0160390124885965,0.9992761491132828,False,True
