architecture,family,seed,regime,status,rho,left_rho,right_rho
vitb,learned,42,noise,NOT_REACHED,,,
vitb,learned,42,adversarial,ESTIMATED,0.24270031019140306,0.2250603428306907,0.2514887939300437
vitb,learned,123,noise,NOT_REACHED,,,
vitb,learned,123,adversarial,NOT_REACHED,,,
vitb,learned,456,noise,NOT_REACHED,,,
vitb,learned,456,adversarial,NOT_REACHED,,,
vitb,learned,789,noise,NOT_REACHED,,,
vitb,learned,789,adversarial,ESTIMATED,0.212555217757561,0.2020365585449837,0.2263103874970852
vitb,learned,1011,noise,NOT_REACHED,,,
vitb,learned,1011,adversarial,NOT_REACHED,,,
vitb,learned,1213,noise,NOT_REACHED,,,
vitb,learned,1213,adversarial,ESTIMATED,0.14891703530778308,0.1400034383170902,0.1542055602828949
vitb,sinusoidal,42,noise,NOT_REACHED,,,
vitb,sinusoidal,42,adversarial,ESTIMATED,0.0814476737934172,0.0782453099544844,0.0874058567128659
vitb,sinusoidal,123,noise,NOT_REACHED,,,
vitb,sinusoidal,123,adversarial,ESTIMATED,0.08802853792725764,0.0755758041346782,0.088097816001208
vitb,sinusoidal,456,noise,NOT_REACHED,,,
vitb,sinusoidal,456,adversarial,ESTIMATED,0.09264907805198397,0.0821652883231841,0.0926564975776236
vitb,sinusoidal,789,noise,NOT_REACHED,,,
vitb,sinusoidal,789,adversarial,ESTIMATED,0.08864836124576726,0.082319932263602,0.0896463058160318
vitb,sinusoidal,1011,noise,NOT_REACHED,,,
vitb,sinusoidal,1011,adversarial,ESTIMATED,0.08493082233667584,0.0794857922060425,0.088458500085291
vitb,sinusoidal,1213,noise,NOT_REACHED,,,
vitb,sinusoidal,1213,adversarial,ESTIMATED,0.08497737086386237,0.0784258694773584,0.0877229625488817
vitb,rope,42,noise,NOT_REACHED,,,
vitb,rope,42,adversarial,ESTIMATED,0.13469965876533363,0.1101489733910826,0.1373645906919823
vitb,rope,123,noise,NOT_REACHED,,,
vitb,rope,123,adversarial,ESTIMATED,0.10716910689823561,0.0959479013299763,0.1111237561160072
vitb,rope,456,noise,NOT_REACHED,,,
vitb,rope,456,adversarial,ESTIMATED,0.108647557352309,0.0988289505394684,0.1132694308169014
vitb,rope,789,noise,NOT_REACHED,,,
vitb,rope,789,adversarial,ESTIMATED,0.10296092570559548,0.0935949873183909,0.1120487662403698
vitb,rope,1011,noise,NOT_REACHED,,,
vitb,rope,1011,adversarial,ESTIMATED,0.13074854580108725,0.1187538562032042,0.1369089603981873
vitb,rope,1213,noise,NOT_REACHED,,,
vitb,rope,1213,adversarial,ESTIMATED,0.11541998260086521,0.1009602953275255,0.1196186318380913
vitb,alibi,42,noise,NOT_REACHED,,,
vitb,alibi,42,adversarial,ESTIMATED,0.09005699880474609,0.0760594642885694,0.0988595720571871
vitb,alibi,123,noise,NOT_REACHED,,,
vitb,alibi,123,adversarial,ESTIMATED,0.08997101024349334,0.0783221177971553,0.1006381483831708
vitb,alibi,456,noise,NOT_REACHED,,,
vitb,alibi,456,adversarial,ESTIMATED,0.09071042596252007,0.0769742976328788,0.1001403079653072
vitb,alibi,789,noise,NOT_REACHED,,,
vitb,alibi,789,adversarial,ESTIMATED,0.09155938220713294,0.0759387719632624,0.0991093438250037
vitb,alibi,1011,noise,NOT_REACHED,,,
vitb,alibi,1011,adversarial,ESTIMATED,0.08947434168271816,0.0778044452574931,0.099872048141252
vitb,alibi,1213,noise,NOT_REACHED,,,
vitb,alibi,1213,adversarial,ESTIMATED,0.09884205128742637,0.0829517630973154,0.1067488130438584
vits,learned,42,noise,NOT_REACHED,,,
vits,learned,42,adversarial,ESTIMATED,0.10234389068478525,0.09683447228040026,0.11895647373066039
vits,learned,123,noise,NOT_REACHED,,,
vits,learned,123,adversarial,ESTIMATED,0.07087379043234683,0.053797938865771465,0.08372933555295395
vits,learned,456,noise,NOT_REACHED,,,
vits,learned,456,adversarial,ESTIMATED,0.07723795181694161,0.06588845150124921,0.09784979098537745
vits,learned,789,noise,NOT_REACHED,,,
vits,learned,789,adversarial,ESTIMATED,0.07343443384012975,0.040037149497324724,0.08001014400538739
vits,learned,1011,noise,NOT_REACHED,,,
vits,learned,1011,adversarial,ESTIMATED,0.07554603623925772,0.06322389538484961,0.10134649515419336
vits,learned,1213,noise,NOT_REACHED,,,
vits,learned,1213,adversarial,ESTIMATED,0.07583204948133412,0.055304736951395705,0.0858183096310339
vits,sinusoidal,42,noise,NOT_REACHED,,,
vits,sinusoidal,42,adversarial,ESTIMATED,0.07127017562492081,0.0653226278900405,0.07570343984941286
vits,sinusoidal,123,noise,NOT_REACHED,,,
vits,sinusoidal,123,adversarial,ESTIMATED,0.06956657631606071,0.06751198420668154,0.07470770498794613
vits,sinusoidal,456,noise,NOT_REACHED,,,
vits,sinusoidal,456,adversarial,ESTIMATED,0.06302064775315713,0.05952095346588745,0.06676554355099984
vits,sinusoidal,789,noise,NOT_REACHED,,,
vits,sinusoidal,789,adversarial,ESTIMATED,0.07452530660880896,0.06817758607569392,0.07735045597084712
vits,sinusoidal,1011,noise,NOT_REACHED,,,
vits,sinusoidal,1011,adversarial,ESTIMATED,0.06839028764752163,0.06476547146857062,0.07497591463930947
vits,sinusoidal,1213,noise,NOT_REACHED,,,
vits,sinusoidal,1213,adversarial,ESTIMATED,0.06106389253555995,0.05237506806905123,0.06113021943988444
vits,rope,42,noise,NOT_REACHED,,,
vits,rope,42,adversarial,ESTIMATED,0.07414932283281803,0.051518032084449925,0.08507933277555473
vits,rope,123,noise,NOT_REACHED,,,
vits,rope,123,adversarial,ESTIMATED,0.08999169657261336,0.0666630520225247,0.10317559110734235
vits,rope,456,noise,NOT_REACHED,,,
vits,rope,456,adversarial,ESTIMATED,0.0743611516024561,0.048163560102758386,0.08509638273625693
vits,rope,789,noise,NOT_REACHED,,,
vits,rope,789,adversarial,ESTIMATED,0.06803823310213959,0.048512898579002574,0.07924920814427047
vits,rope,1011,noise,NOT_REACHED,,,
vits,rope,1011,adversarial,ESTIMATED,0.08181136518028642,0.05502056000873477,0.09440914309370431
vits,rope,1213,noise,NOT_REACHED,,,
vits,rope,1213,adversarial,ESTIMATED,0.0745142752667945,0.0501980695320225,0.08466570096189348
vits,alibi,42,noise,ESTIMATED,0.28916086919308664,0.28074329332514714,0.4188431395570128
vits,alibi,42,adversarial,ESTIMATED,0.15025632689881838,0.14300767224417393,0.2355323845374887
vits,alibi,123,noise,ESTIMATED,0.38374665130034796,0.2828689384162034,0.4223619064738508
vits,alibi,123,adversarial,ESTIMATED,0.11322122755243658,0.09886741865267262,0.1596748016503598
vits,alibi,456,noise,ESTIMATED,0.2869806953091204,0.28543515346153187,0.42448846263133194
vits,alibi,456,adversarial,ESTIMATED,0.11096325556880042,0.10000757595991755,0.16241053481321657
vits,alibi,789,noise,ESTIMATED,0.26047108801589786,0.1452938300874546,0.28489649362228125
vits,alibi,789,adversarial,ESTIMATED,0.11097894873813272,0.07817855959502984,0.11106676771843553
vits,alibi,1011,noise,ESTIMATED,0.25064788269315597,0.14432772891916332,0.28277650416173444
vits,alibi,1011,adversarial,ESTIMATED,0.10712733046323249,0.10185151667123732,0.1580701346052934
vits,alibi,1213,noise,ESTIMATED,0.2370872201455549,0.14418590978792722,0.2855715537572265
vits,alibi,1213,adversarial,ESTIMATED,0.10984559478336582,0.10087879721001573,0.16160700026996067
