scope,endpoint_multiplier,endpoint,architecture,family,metric,n_seeds,mean,sd,ci95_low,ci95_high,positive_seeds,exact_sign_flip_p
cross,0.75,0.05942879800354839,vitb,alibi,noise_nauc,6,0.982014044027835,0.0030174621407847543,0.9799117991975174,0.984354545484979,6,0.03125
cross,0.75,0.05942879800354839,vitb,alibi,adversarial_nauc,6,0.9252598375352091,0.010596978952140816,0.9186504321801187,0.9338018493492783,6,0.03125
cross,0.75,0.05942879800354839,vitb,alibi,gap,6,0.05675420649262577,0.010919730809869965,0.04784390716706599,0.0625360046282084,6,0.03125
cross,0.75,0.05942879800354839,vitb,learned,noise_nauc,6,0.9989501856610413,0.0007124428488878217,0.9984461749216299,0.9994629245577785,6,0.03125
cross,0.75,0.05942879800354839,vitb,learned,adversarial_nauc,6,0.9959985940016599,0.0022257294899408987,0.9942463848860984,0.9974654208180622,6,0.03125
cross,0.75,0.05942879800354839,vitb,learned,gap,6,0.002951591659381414,0.002268199358435124,0.0016621186683882794,0.004838349658419505,6,0.03125
cross,0.75,0.05942879800354839,vitb,rope,noise_nauc,6,0.9993738284251471,0.0004281980533731186,0.9990625449277308,0.9996730186315704,6,0.03125
cross,0.75,0.05942879800354839,vitb,rope,adversarial_nauc,6,0.9847804510667012,0.004283252790066248,0.9813547796247902,0.9877543954409881,6,0.03125
cross,0.75,0.05942879800354839,vitb,rope,gap,6,0.014593377358445922,0.004518560775663107,0.011385711761072207,0.01818622870202356,6,0.03125
cross,0.75,0.05942879800354839,vitb,sinusoidal,noise_nauc,6,0.9987126031425725,0.000707461845318067,0.9981293001129914,0.9991539032233888,6,0.03125
cross,0.75,0.05942879800354839,vitb,sinusoidal,adversarial_nauc,6,0.9439526985517749,0.0034339738236377083,0.9415188997980092,0.9465411745042057,6,0.03125
cross,0.75,0.05942879800354839,vitb,sinusoidal,gap,6,0.05475990459079757,0.0031738970739157387,0.052306140344462425,0.05694675037884759,6,0.03125
cross,0.75,0.05942879800354839,vits,alibi,noise_nauc,6,0.9834038026715041,0.004418740368900436,0.9801635910447147,0.9865356183047452,6,0.03125
cross,0.75,0.05942879800354839,vits,alibi,adversarial_nauc,6,0.9442842701292591,0.005279469763224143,0.9404732187463836,0.9478846508949843,6,0.03125
cross,0.75,0.05942879800354839,vits,alibi,gap,6,0.03911953254224495,0.0025991113423815796,0.0370969941239927,0.040872337377373884,6,0.03125
cross,0.75,0.05942879800354839,vits,learned,noise_nauc,6,0.9985550022247888,0.0005700840401594412,0.9980860615575239,0.9989262177821095,6,0.03125
cross,0.75,0.05942879800354839,vits,learned,adversarial_nauc,6,0.9259658598574649,0.016167450505307848,0.9157042522497777,0.9388256742501135,6,0.03125
cross,0.75,0.05942879800354839,vits,learned,gap,6,0.07258914236732382,0.01602404212527307,0.059896683594147494,0.08237447866334792,6,0.03125
cross,0.75,0.05942879800354839,vits,rope,noise_nauc,6,0.9993849017369221,0.000634694599010418,0.998914475253916,0.9998187894009297,6,0.03125
cross,0.75,0.05942879800354839,vits,rope,adversarial_nauc,6,0.9484868170268886,0.013941334943719144,0.9393122183480793,0.9592854950016664,6,0.03125
cross,0.75,0.05942879800354839,vits,rope,gap,6,0.050898084710033466,0.013664566453151294,0.04029255968724906,0.05984999773911739,6,0.03125
cross,0.75,0.05942879800354839,vits,sinusoidal,noise_nauc,6,0.9991878973813387,0.0007806418512142075,0.9986190007827257,0.9997427221756175,6,0.03125
cross,0.75,0.05942879800354839,vits,sinusoidal,adversarial_nauc,6,0.8663085470887805,0.021884432243198353,0.8505294083049338,0.8820876858726269,6,0.03125
cross,0.75,0.05942879800354839,vits,sinusoidal,gap,6,0.1328793502925585,0.02217212511545167,0.11679712226295258,0.14897099981646997,6,0.03125
cross,0.9,0.07131455760425807,vitb,alibi,noise_nauc,6,0.9742111233562655,0.00471739335899928,0.9710928000799305,0.9778438670971745,6,0.03125
cross,0.9,0.07131455760425807,vitb,alibi,adversarial_nauc,6,0.8943448454215409,0.015395411894714616,0.8850780854643633,0.9068652105035016,6,0.03125
cross,0.9,0.07131455760425807,vitb,alibi,gap,6,0.07986627793472446,0.016383423961065856,0.06614860681188116,0.088698157126329,6,0.03125
cross,0.9,0.07131455760425807,vitb,learned,noise_nauc,6,0.998589035124438,0.0008665581000479399,0.9980096102832903,0.9992236878219899,6,0.03125
cross,0.9,0.07131455760425807,vitb,learned,adversarial_nauc,6,0.9951077413015987,0.0022847702396812243,0.9933558537022384,0.9966614274458278,6,0.03125
cross,0.9,0.07131455760425807,vitb,learned,gap,6,0.0034812938228392007,0.002346664736057788,0.002017719967665088,0.005382741696860964,6,0.03125
cross,0.9,0.07131455760425807,vitb,rope,noise_nauc,6,0.9992528691507574,0.00046397554257789477,0.9989076877116769,0.9995794212856435,6,0.03125
cross,0.9,0.07131455760425807,vitb,rope,adversarial_nauc,6,0.974871106217158,0.006400918289413165,0.9699050801473549,0.9793348243111278,6,0.03125
cross,0.9,0.07131455760425807,vitb,rope,gap,6,0.024381762933599487,0.006690720436286716,0.01976004379750747,0.029608973379205577,6,0.03125
cross,0.9,0.07131455760425807,vitb,sinusoidal,noise_nauc,6,0.9985536820419485,0.0008758514772316486,0.9978569710643975,0.9991139465069915,6,0.03125
cross,0.9,0.07131455760425807,vitb,sinusoidal,adversarial_nauc,6,0.9235292922350103,0.005615081248899515,0.919626805514166,0.9279258751302564,6,0.03125
cross,0.9,0.07131455760425807,vitb,sinusoidal,gap,6,0.0750243898069381,0.005994298427124032,0.07051495521281982,0.07919338567923186,6,0.03125
cross,0.9,0.07131455760425807,vits,alibi,noise_nauc,6,0.9769469024236956,0.005892668659139374,0.9725811960223268,0.9812113846057585,6,0.03125
cross,0.9,0.07131455760425807,vits,alibi,adversarial_nauc,6,0.9219892940722816,0.005641709557982091,0.9180004376044032,0.9257937854770865,6,0.03125
cross,0.9,0.07131455760425807,vits,alibi,gap,6,0.05495760835141398,0.004349496304699287,0.051682947163097216,0.05798603770345545,6,0.03125
cross,0.9,0.07131455760425807,vits,learned,noise_nauc,6,0.9982711136609773,0.0006444564015059429,0.9977585813959067,0.9986938717443105,6,0.03125
cross,0.9,0.07131455760425807,vits,learned,adversarial_nauc,6,0.8856430951183535,0.028139047581088122,0.8674643124104429,0.9078284653565655,6,0.03125
cross,0.9,0.07131455760425807,vits,learned,gap,6,0.11262801854262385,0.028030570557933537,0.0905843533129917,0.13042096366705735,6,0.03125
cross,0.9,0.07131455760425807,vits,rope,noise_nauc,6,0.99925982630007,0.0007056618504486014,0.9987438665252889,0.9997474288592586,6,0.03125
cross,0.9,0.07131455760425807,vits,rope,adversarial_nauc,6,0.904003357509278,0.029890478043260206,0.8846352131776035,0.9283664153192385,6,0.03125
cross,0.9,0.07131455760425807,vits,rope,gap,6,0.09525646879079237,0.029694505286411658,0.07157377100046526,0.11455746117325673,6,0.03125
cross,0.9,0.07131455760425807,vits,sinusoidal,noise_nauc,6,0.9989696690088467,0.0009477534316517992,0.9982880690509098,0.9996516058164463,6,0.03125
cross,0.9,0.07131455760425807,vits,sinusoidal,adversarial_nauc,6,0.8116946847744081,0.031557529535136866,0.788703027169363,0.8339033590649946,6,0.03125
cross,0.9,0.07131455760425807,vits,sinusoidal,gap,6,0.18727498423443836,0.03193518746214989,0.16451667199673406,0.21044166323518496,6,0.03125
cross,1.0,0.07923839733806452,vitb,alibi,noise_nauc,6,0.968471482519197,0.006060607842907353,0.964495310549347,0.9732375326690393,6,0.03125
cross,1.0,0.07923839733806452,vitb,alibi,adversarial_nauc,6,0.8701435445422375,0.01854098070155137,0.8592302902129657,0.8853409602095589,6,0.03125
cross,1.0,0.07923839733806452,vitb,alibi,gap,6,0.09832793797695956,0.020077309857199622,0.08163507156748451,0.10900749929600517,6,0.03125
cross,1.0,0.07923839733806452,vitb,learned,noise_nauc,6,0.9983339482657173,0.00097999288173154,0.9976872079081529,0.9990505122519271,6,0.03125
cross,1.0,0.07923839733806452,vitb,learned,adversarial_nauc,6,0.994450867696405,0.0023345853264902863,0.9926685406414575,0.9960452273123813,6,0.03125
cross,1.0,0.07923839733806452,vitb,learned,gap,6,0.0038830805693124693,0.0024396989816476596,0.002298189861095331,0.0058417090102849305,6,0.03125
cross,1.0,0.07923839733806452,vitb,rope,noise_nauc,6,0.9991673744453561,0.0004792368176898959,0.9988041680542398,0.9995051902177071,6,0.03125
cross,1.0,0.07923839733806452,vitb,rope,adversarial_nauc,6,0.9668936899380509,0.008321699818976293,0.9604416147255561,0.9725329273086784,6,0.03125
cross,1.0,0.07923839733806452,vitb,rope,gap,6,0.03227368450730531,0.008634628844958706,0.026360774403680492,0.039124127519758745,6,0.03125
cross,1.0,0.07923839733806452,vitb,sinusoidal,noise_nauc,6,0.998446426248504,0.0009920291943875293,0.9976878160873509,0.9990976800430279,6,0.03125
cross,1.0,0.07923839733806452,vitb,sinusoidal,adversarial_nauc,6,0.9034247512228237,0.010544833117483145,0.8953763714601976,0.9113647619456516,6,0.03125
cross,1.0,0.07923839733806452,vitb,sinusoidal,gap,6,0.09502167502568025,0.011047098669025661,0.08702993189172027,0.10303244518834666,6,0.03125
cross,1.0,0.07923839733806452,vits,alibi,noise_nauc,6,0.9716509739769594,0.007035058322726993,0.966655762179902,0.9768058556709476,6,0.03125
cross,1.0,0.07923839733806452,vits,alibi,adversarial_nauc,6,0.9046474395784041,0.006432883523649154,0.8999967091230499,0.9090961699934227,6,0.03125
cross,1.0,0.07923839733806452,vits,alibi,gap,6,0.06700353439855533,0.006616055678305398,0.061810326630253785,0.07155161494590119,6,0.03125
cross,1.0,0.07923839733806452,vits,learned,noise_nauc,6,0.9980785447645631,0.0006858904586145774,0.9975442606856836,0.9985329855013961,6,0.03125
cross,1.0,0.07923839733806452,vits,learned,adversarial_nauc,6,0.8509369245125585,0.037407491577488294,0.8278437035296196,0.8812566658504418,6,0.03125
cross,1.0,0.07923839733806452,vits,learned,gap,6,0.14714162025200453,0.037367417647005755,0.11707777734994784,0.1701350645844446,6,0.03125
cross,1.0,0.07923839733806452,vits,rope,noise_nauc,6,0.9991732810203905,0.0007509021472732278,0.9986293948277387,0.9996973675042896,6,0.03125
cross,1.0,0.07923839733806452,vits,rope,adversarial_nauc,6,0.8661530590760685,0.03972509092623456,0.8404121480415951,0.8983290271272981,6,0.03125
cross,1.0,0.07923839733806452,vits,rope,gap,6,0.13302022194432211,0.03956629357791162,0.10115095631908987,0.15862109176424197,6,0.03125
cross,1.0,0.07923839733806452,vits,sinusoidal,noise_nauc,6,0.998784717360999,0.0010587843003512444,0.9980106922041777,0.9995362482572601,6,0.03125
cross,1.0,0.07923839733806452,vits,sinusoidal,adversarial_nauc,6,0.7663660668996223,0.03852055422681634,0.737833931922641,0.7940650998554756,6,0.03125
