scope,endpoint_multiplier,endpoint,architecture,family,seed,noise_nauc,adversarial_nauc,adversarial_raw_nauc,gap,raw_gap
cross,1.0,0.07923839733806452,vitb,learned,42,0.9996063290139919,0.9975815158045512,0.9977629694821535,0.002024813209440701,0.001843359531838451
cross,0.9,0.07131455760425807,vitb,learned,42,0.9997649316073594,0.9980769986153778,0.9982786138127134,0.0016879329919815556,0.0014863177946459194
cross,0.75,0.05942879800354839,vitb,learned,42,0.9999512945941629,0.9986586142590934,0.9989005524958964,0.0012926803350694627,0.0010507420982664994
vitb,1.0,0.0957481143921283,vitb,learned,42,0.9991925814169189,0.9963773004631183,0.9965274663300452,0.0028152809538005696,0.002665115086873726
vitb,0.9,0.08617330295291548,vitb,learned,42,0.9994466870299439,0.9970990954037069,0.9972659463669589,0.002347591626236989,0.0021807406629850146
vitb,0.75,0.07181108579409623,vitb,learned,42,0.9997558119580973,0.9980480451882813,0.9982482663441835,0.0017077667698159882,0.0015075456139137522
cross,1.0,0.07923839733806452,vitb,learned,123,0.997476460145329,0.99494987965253,0.99494987965253,0.002526580492798969,0.002526580492798969
cross,0.9,0.07131455760425807,vitb,learned,123,0.9977890123965961,0.9956181287616078,0.9956181287616078,0.0021708836349882965,0.0021708836349882965
cross,0.75,0.05942879800354839,vitb,learned,123,0.9982692354684969,0.9965427135435909,0.9965427135435909,0.001726521924905966,0.001726521924905966
vitb,1.0,0.0957481143921283,vitb,learned,123,0.9968430920790665,0.9935229464691342,0.9935229464691342,0.0033201456099323234,0.0033201456099323234
vitb,0.9,0.08617330295291548,vitb,learned,123,0.9972076459115774,0.9943540324492363,0.9943540324492363,0.0028536134623411424,0.0028536134623411424
vitb,0.75,0.07181108579409623,vitb,learned,123,0.9977692619843349,0.9955771794723797,0.9955771794723797,0.00219208251195524,0.00219208251195524
cross,1.0,0.07923839733806452,vitb,learned,456,0.9987985764347522,0.990646994260715,0.990646994260715,0.00815158217403722,0.00815158217403722
cross,0.9,0.07131455760425807,vitb,learned,456,0.9990280521459802,0.9912686841335658,0.9912686841335658,0.0077593680124143916,0.0077593680124143916
cross,0.75,0.05942879800354839,vitb,learned,456,0.9993840193941342,0.9920641747499725,0.9920641747499725,0.007319844644161688,0.007319844644161688
vitb,1.0,0.0957481143921283,vitb,learned,456,0.9983989722251917,0.9889269596301936,0.9889269596301936,0.00947201259499808,0.00947201259499808
vitb,0.9,0.08617330295291548,vitb,learned,456,0.9986278154497998,0.989939894968085,0.989939894968085,0.00868792048171485,0.00868792048171485
vitb,0.75,0.07181108579409623,vitb,learned,456,0.9990123761693875,0.9912378225828534,0.9912378225828534,0.0077745535865341164,0.0077745535865341164
cross,1.0,0.07923839733806452,vitb,learned,789,0.9991873872421198,0.9941256500770992,0.9941256500770992,0.005061737165020563,0.005061737165020563
cross,0.9,0.07131455760425807,vitb,learned,789,0.9992465194433198,0.994968591866422,0.994968591866422,0.004277927576897822,0.004277927576897822
cross,0.75,0.05942879800354839,vitb,learned,789,0.9993251529632146,0.9962003579794902,0.9962003579794902,0.0031247949837243105,0.0031247949837243105
vitb,1.0,0.0957481143921283,vitb,learned,789,0.9990238021053568,0.9923168099827262,0.9923168099827262,0.006706992122630595,0.006706992122630595
vitb,0.9,0.08617330295291548,vitb,learned,789,0.9991221672348203,0.9933782769708707,0.9933782769708707,0.005743890263949614,0.005743890263949614
vitb,0.75,0.07181108579409623,vitb,learned,789,0.9992433924705102,0.9949161847426372,0.9949161847426372,0.004327207727872984,0.004327207727872984
