architecture,family,seed,clean_accuracy,checkpoint_sha256
vits,learned,42,78.17551963048498,8a36b445de1173f0f4cbfa5a50182edf1dcc18db0ba560b3e7f0bcacbd1e8003
vits,sinusoidal,42,79.01270207852194,e11bba5a1ab879b50cb75cbf34f826811fc72e94bc5bb1342d631445905bf0c2
vits,rope,42,82.85219399538106,2b34eaabdf21c1e0b994b717646d35e48372b69c0f47906944806e305bd5b473
vits,alibi,42,79.59006928406467,e10f64d7bac00c1614767a6881330c48b822c1465ae1c5b891b3ea156366a65e
vits,learned,123,77.68475750577367,f53b5eef63e94d897243532a61ee884928690b30b53b89d7d653eef5160d9527
vits,sinusoidal,123,78.14665127020785,f0bc4d890c71265606a215f32e01da4bae7099ba6466399f458a26105b99b15c
vits,rope,123,82.27482678983834,1f7d20cc55a7b13cc7d077968dd9cc15b12d97a8044466b9734e215ad59cf95d
vits,alibi,123,79.24364896073904,b665115f090926c43f5e67edefd1bf702a477b10af99b55f3c021a7bcee122aa
vits,learned,456,78.43533487297921,26745b37bc47479ed6523c6541958a70815b022e2e564c3c59a7b608acde3ae1
vits,sinusoidal,456,79.21478060046189,128a1956a4a560efcad8c65deb02ed7532156c31163ea15b3b213fc7dc185ae2
vits,rope,456,82.82332563510393,1d77ce6273748e203fc489f94bbea09aed61756f913670baeaa710f5439b49c1
vits,alibi,456,78.86836027713626,a3aeb369cce2d0abafcf4b5590f65f6f12d978c3ef1cdb2039b5f2495b7b5c02
vits,learned,789,77.3960739030023,b5dbfab3b95620a869faf33d9b2d67acf4d0c70ee61f3ee1f25739e647d87ccd
vits,sinusoidal,789,78.95496535796767,d22c01e9441df4f2b2252363e55a6fedf298bc037739447f6fee3a39ca7b9718
vits,rope,789,82.27482678983834,15430d954394609cabc6acbece325b33291d050a40cb304303640f3cb9c785a9
vits,alibi,789,79.33025404157044,4f37f315a6d8087541da82c2b8c2e7547bc495ab8bb5023e9ab709a8af996e81
vits,learned,1011,78.31986143187066,f00701f3127f26450072b96810cd82fe7e7b1c0409170ab3829bcad2f8cd5bb4
vits,sinusoidal,1011,78.78175519630484,4b8d4068f3c3a0f05d892e12e1e4fcbb907196a6937e9c62959284b98db32f48
vits,rope,1011,82.50577367205543,089f5cd0bed2085b0f4ea3f9ad239f6b0996623eaee22d42455754e4decdd013
vits,alibi,1011,79.33025404157044,6b9bcad5881a59b6f41fbc19333c75f09dd6bd00a4b4701b1c73ae441c11c945
vits,learned,1213,77.7136258660508,c3ed360207356cd6ac69ee1ca2099f7073e0f43914d3af5950457551cd7b4110
vits,sinusoidal,1213,79.04157043879907,ff17ed614c07cf386d1b2d0023ebb70146abc649e69eb4e7936bf6a7d57debcc
vits,rope,1213,83.11200923787528,58c67c49c54ef01511e07bb423f92bde077052a52c91fbac78cf3da0926c38fe
vits,alibi,1213,78.89722863741339,afa407f6f1d57adaa1e7d92be0a15fd06fa08fb93d784d89752b12c5f99bc2a6
