dataset,pe_type,seed,task_rho_rel_heldout,random_rho_rel_heldout_median,task_delta_ce,random_delta_ce_median,task_damage_efficiency_actual_rho,random_damage_efficiency_actual_rho_median,damage_efficiency_gap_task_minus_random,task_functional_gain,random_functional_gain_median,task_to_random_functional_gain_ratio
imagenet,learned,42,0.025840754435131393,0.02966453782533398,0.007817420177161694,0.003757877741008997,0.30252290802058174,0.12600357764965509,0.17651933037092665,30.74886221525759,2.8223274120131334,10.894860066332553
imagenet,learned,123,0.026294059991507086,0.029805073485377122,0.020550528541207314,0.007765566930174828,0.7815654390324309,0.2594555287177334,0.5221099103146976,31.942242623775396,2.773112267526588,11.518553719523778
imagenet,sinusoidal,42,0.03121941382291765,0.030677331149823378,0.16953146271407604,0.002068564761430025,5.430321775920913,0.06803046242595012,5.362291313494962,3.3619036677573884,2.2759305759617696,1.477155631751511
imagenet,sinusoidal,123,0.029929774418039064,0.030458343503260245,0.19481343496590853,-0.0010387720540165901,6.50901781767162,-0.034095015790270286,6.54311283346189,3.6500342751897428,2.245470534031252,1.625509762818799
imagenet,rope,42,0.031421591389235254,0.030277620586261537,0.004040254279971123,0.0003630982246249914,0.12858210234874598,0.011963724132803458,0.11661837821594252,3.2206849452852664,2.6751370953376146,1.203932669805396
imagenet,rope,123,0.030117696490614916,0.030136794231659138,-0.011539659462869167,-0.00026288325898349285,-0.3831521267393435,-0.008724410726672011,-0.3744277160126715,3.304668055135351,2.60637503070651,1.267917324330549
imagenet,alibi,42,0.02905061668269305,0.02987880982936557,0.13247393630445004,0.013582843588665128,4.560107544407882,0.44876307397750526,4.111344470430376,4.725191656532772,4.4523660942054555,1.0612765339944499
imagenet,alibi,123,0.029336212556369992,0.029922981463409062,0.16297387517988682,-0.0031009376980364323,5.555382272566029,-0.10396549343272551,5.6593477659987546,4.558021335213641,4.440429593552032,1.0264820642201746
cifar,learned,42,0.02695465202909317,0.02831207590833934,-0.0022374987602233887,0.0003860592842102051,-0.08300974383970426,0.013845824813377301,-0.09685556865308156,49.391904814101586,8.234379860743868,5.998254349373637
cifar,learned,123,0.02807809570037226,0.02874934372341585,0.019809693098068237,-0.001700565218925476,0.7055212472192549,-0.05896801376389202,0.764489260983147,43.00878579839026,7.285042998633217,5.903710631009226
cifar,sinusoidal,42,0.02757241151681126,0.029286173685692155,0.009419307112693787,0.001302860677242279,0.3416207213848782,0.04442977374062562,0.2971909476442526,8.775353953299048,2.792426781531276,3.1425547166851513
cifar,sinusoidal,123,0.027137076280107846,0.02894802295285855,0.013713479042053223,0.00124378502368927,0.5053410655040074,0.04285872408947144,0.4624823414145359,9.80536977607126,2.844295143703854,3.447381259914772
cifar,rope,42,0.030136169894869034,0.030141238379667597,0.008519232273101807,0.0005330741405487061,0.28269127439954755,0.017686425582747398,0.26500484881680014,3.559394983093669,2.5521181531276538,1.3946826790646758
cifar,rope,123,0.02998304219702643,0.03009281571220001,0.03414425253868103,0.0013016313314437866,1.1387854612720816,0.043291592249657396,1.095493869022424,3.521579242270528,2.4629533126832426,1.4298197307012592
cifar,alibi,42,0.02987500376547597,0.02978204920656599,-0.0012426674365997314,0.0061066001653671265,-0.04159555748862458,0.2048577450069537,-0.24645330249557829,4.3400905795400115,4.343728509677288,0.9991624867601251
cifar,alibi,123,0.028754583937100606,0.029695061917295977,0.03198564052581787,0.002683296799659729,1.1123666611134093,0.09063118307295676,1.0217354780404526,5.449362351597897,4.428099405785538,1.2306323440883074
imagenet,learned,456,0.02709015527015006,0.030433478892396386,0.09531475882977247,0.01233416865579784,3.5184279262805607,0.40571573666619054,3.11271218961437,13.604580666282766,2.627899465218477,5.176979122050134
imagenet,learned,789,0.02790444864372131,0.030324877650821678,0.023200953379273415,-0.0012001758441329002,0.8314428167171038,-0.03912328007155595,0.8705660967886598,32.25586539450788,2.7990478054138217,11.5238708435489
imagenet,sinusoidal,456,0.030827708579931667,0.03048219859057193,0.038312602788209915,-0.0018242350779473782,1.242797617892067,-0.059740373798383706,1.3025379916904507,3.528060206077113,2.316715008369335,1.5228719084270996
imagenet,sinusoidal,789,0.03063554149206254,0.03079480089328284,0.30141790257766843,-0.001970230368897319,9.838830583613603,-0.06418155625907106,9.903012139872674,3.6510073376647676,2.29035158528335,1.5940816078737905
imagenet,rope,456,0.031312146385333965,0.030257026077685656,0.004098322708159685,0.0003560846671462059,0.13088603565290127,0.011785855345251277,0.11910018030764999,3.3307258612808663,2.5986586985884452,1.281709623156773
imagenet,rope,789,0.030402916836012463,0.03017416119649945,0.017755421809852123,0.0002487488090991974,0.5840038936270978,0.008291620780781918,0.5757122728463159,3.610752856105442,2.8348747658466658,1.2736904287999655
imagenet,alibi,456,0.028729920245695987,0.02990762910403472,0.1679691793397069,0.015884557738900185,5.846489579617621,0.532326450425596,5.314163129192025,4.868797045377254,4.4094624537724245,1.1041702013386814
