dataset,pe_type,seed,direction,kind,functional_gain,probe_radius,rho_rel_calibration,rho_rel_heldout,delta_ce,damage_efficiency,parameter_radius_global_rms,parameter_space_cosine_to_task_gradient,attention_task_alignment_cosine,source_file
imagenet,learned,42,random_00,gaussian random,2.820636608167065,0.0001,0.0304695083343556,0.0300015030786742,0.0039679016917943,0.1322567633157974,0.0190275861740433,0.0008143308223225,0.0001471374389496,imagenet_seeds_42_123.json
imagenet,learned,42,random_01,gaussian random,2.781402790852211,0.0001,0.030526800736046,0.0301753649497909,-0.0008178269490599,-0.0271024708539814,0.0200873698122525,-0.0007097829366102,0.0001221266905081,imagenet_seeds_42_123.json
imagenet,learned,42,random_02,gaussian random,2.815214381728699,0.0001,0.0308095187717488,0.0302020444424762,0.0073523288592696,0.243438118014596,0.0191380018806926,0.0009601499186828,6.96889134751954e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_03,gaussian random,2.7960549286020298,0.0001,0.0305359154629915,0.0300128715276262,-0.0084171136841177,-0.2804501287512598,0.0196938469235393,-0.0027778665535151,4.58115200084682e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_04,gaussian random,2.858320060362815,0.0001,0.0304766308597013,0.0290900086549292,-0.0028304895386099,-0.0973010896004103,0.017939130074981,-0.0039809332229197,0.0001230396869552,imagenet_seeds_42_123.json
imagenet,learned,42,random_05,gaussian random,2.8231012907101687,0.0001,0.0305473809965476,0.0298923395975462,0.0136508978903293,0.4566687677885842,0.0188315390467712,0.0007053557201288,9.755911286056924e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_06,gaussian random,2.8754936221866743,0.0001,0.0307969217302411,0.0292006607207727,0.0031447540968656,0.1076946212600095,0.0173957899157246,-0.0008754734299145,-4.132503834064509e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_07,gaussian random,2.8160010727646063,0.0001,0.0301739058709942,0.0295072792941991,0.0085160620510578,0.288608853637414,0.0194385309361179,-0.0017342035425826,0.0001514415571874,imagenet_seeds_42_123.json
imagenet,learned,42,random_08,gaussian random,2.87317002452653,0.0001,0.0303176531158234,0.0292884631981888,0.004310960881412,0.1471897262837132,0.0179396793189104,-0.0005801726947538,1.579785709128581e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_09,gaussian random,2.8537383264382736,0.0001,0.030551698081326,0.0297351957828614,0.0004488602280616,0.0150952504681468,0.0184579814786156,-0.0025371145457029,-0.0001013796385125,imagenet_seeds_42_123.json
imagenet,learned,42,random_10,gaussian random,2.8325570375957496,0.0001,0.0304741326088408,0.0297667000455307,0.0055618351325392,0.1868475552893654,0.0186726895250761,-0.0006201738724485,-4.006099767412344e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_11,gaussian random,2.7946098375800803,0.0001,0.0301958440354758,0.0294491356800113,0.0139260469004511,0.4728847410589198,0.0200492528649614,-0.0053004692308604,0.0002782520210809,imagenet_seeds_42_123.json
imagenet,learned,42,random_12,gaussian random,2.748996567090553,0.0001,0.0307053776880777,0.0301720141128993,0.0026769852265715,0.088724114225675,0.0201896381296634,-0.0009203931549564,9.203163682837444e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_13,gaussian random,2.79012163835486,0.0001,0.0302810265488505,0.0296130013691213,0.0109345922246575,0.3692497119207736,0.0195824616671946,-0.0024808591697365,0.0001832598821936,imagenet_seeds_42_123.json
imagenet,learned,42,random_14,gaussian random,2.836068546352225,0.0001,0.0305527227514303,0.0296081877736277,0.0121507365256547,0.4103843375540037,0.0182874718201531,-0.0002471010957378,3.592225269025639e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_15,gaussian random,2.84989866724505,0.0001,0.0304784173171623,0.0294477830558735,0.0019603408873081,0.0665700668735781,0.0187806390834374,0.0022588369902223,8.927323840678394e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_16,gaussian random,2.793722461707144,0.0001,0.0305190326174861,0.0297160742815466,0.0079053165391087,0.2660282937850199,0.0193007819420346,0.0013711041538044,0.0002028614235132,imagenet_seeds_42_123.json
imagenet,learned,42,random_17,gaussian random,2.815462852364776,0.0001,0.0305928603137299,0.02991243026842,0.0013274792581796,0.0443788500722773,0.0188506808030901,0.0018606871599331,0.0001568278904497,imagenet_seeds_42_123.json
imagenet,learned,42,random_18,gaussian random,2.8184581437418608,0.0001,0.0306952035056759,0.0297924246887488,0.0070926854386925,0.2380700971066359,0.0186726834009911,0.0040265475399792,2.46815359612206e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_19,gaussian random,2.856820094836983,0.0001,0.0305027214230855,0.029531613282572,0.0034795356914401,0.1178240977946686,0.0178978641454613,-0.0035014362074434,-4.292715479945205e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_20,gaussian random,2.849505336143518,0.0001,0.0307888234187842,0.0301283521307572,-0.0037849964573979,-0.1256290566762838,0.0190426045561416,-0.0021788978483527,6.074881346460644e-05,imagenet_seeds_42_123.json
imagenet,learned,42,random_21,gaussian random,2.8878189076007468,0.0001,0.0306441458463178,0.0293171431551352,-0.0019825194031,-0.0676232125555096,0.0174318352301804,0.0036217703018337,-4.612913154462785e-05,imagenet_seeds_42_123.json
