regime,family,seed,curve,max_rho,n_points
full_fp32_trained,learned,42,attack,0.12014637512011779,7
full_fp32_trained,learned,42,noise,0.25024666605102847,9
full_fp32_trained,learned,123,attack,0.09492790714885053,7
full_fp32_trained,learned,123,noise,0.23928672393639863,9
full_fp32_trained,learned,456,attack,0.10238845985618027,7
full_fp32_trained,learned,456,noise,0.2491078530329555,9
full_fp32_trained,learned,789,attack,0.1280946161241568,7
full_fp32_trained,learned,789,noise,0.2493113825872489,9
full_fp32_trained,learned,1011,attack,0.10621422160310269,7
full_fp32_trained,learned,1011,noise,0.2535911915473067,9
full_fp32_trained,learned,1213,attack,0.09832747088779775,7
full_fp32_trained,learned,1213,noise,0.2468008674203276,9
full_fp32_trained,sinusoidal,42,attack,0.0959505328260359,10
full_fp32_trained,sinusoidal,42,noise,0.35968746785706596,7
full_fp32_trained,sinusoidal,123,attack,0.08809552955874674,10
full_fp32_trained,sinusoidal,123,noise,0.3615233642811196,7
full_fp32_trained,sinusoidal,456,attack,0.07923839733806452,10
full_fp32_trained,sinusoidal,456,noise,0.37828438107892015,7
full_fp32_trained,sinusoidal,789,attack,0.0936335072829131,10
full_fp32_trained,sinusoidal,789,noise,0.341046683319566,7
full_fp32_trained,sinusoidal,1011,attack,0.09298513832292592,10
full_fp32_trained,sinusoidal,1011,noise,0.38760263594348654,7
full_fp32_trained,sinusoidal,1213,attack,0.08769570668589602,10
full_fp32_trained,sinusoidal,1213,noise,0.38138297843951496,7
full_fp32_trained,rope,42,attack,0.11519102349761626,7
full_fp32_trained,rope,42,noise,0.5882034453330317,8
full_fp32_trained,rope,123,attack,0.13021524753677913,7
full_fp32_trained,rope,123,noise,0.5785295698842448,8
full_fp32_trained,rope,456,attack,0.11679496260213246,7
full_fp32_trained,rope,456,noise,0.5576932674361698,8
full_fp32_trained,rope,789,attack,0.10411208324905995,7
full_fp32_trained,rope,789,noise,0.5670150142414376,8
full_fp32_trained,rope,1011,attack,0.12291580692759205,7
full_fp32_trained,rope,1011,noise,0.561173533664854,8
full_fp32_trained,rope,1213,attack,0.11552437829711201,7
full_fp32_trained,rope,1213,noise,0.5614506643233038,8
amp_fp16_trained,learned,42,attack,0.11184532304847106,7
amp_fp16_trained,learned,42,noise,0.23261875027010884,9
amp_fp16_trained,learned,123,attack,0.09952385375916267,7
amp_fp16_trained,learned,123,noise,0.2366683222930849,9
amp_fp16_trained,learned,456,attack,0.10250007858335218,7
amp_fp16_trained,learned,456,noise,0.23536823636424575,9
amp_fp16_trained,learned,789,attack,0.10131931139064532,7
amp_fp16_trained,learned,789,noise,0.245715584321978,9
amp_fp16_trained,learned,1011,attack,0.24749272810274703,7
amp_fp16_trained,learned,1011,noise,0.2506697461533004,9
amp_fp16_trained,learned,1213,attack,0.2575659468832938,7
amp_fp16_trained,learned,1213,noise,0.2459187747121289,9
amp_fp16_trained,sinusoidal,42,attack,0.0910491492117893,10
amp_fp16_trained,sinusoidal,42,noise,0.3680037364771911,7
amp_fp16_trained,sinusoidal,123,attack,0.0895809148347027,10
amp_fp16_trained,sinusoidal,123,noise,0.34888428839711305,7
amp_fp16_trained,sinusoidal,456,attack,0.09709398109180732,10
amp_fp16_trained,sinusoidal,456,noise,0.37990518626561026,7
amp_fp16_trained,sinusoidal,789,attack,0.09399385591012947,10
amp_fp16_trained,sinusoidal,789,noise,0.3723568728480473,7
amp_fp16_trained,sinusoidal,1011,attack,0.08734557159142926,10
amp_fp16_trained,sinusoidal,1011,noise,0.38384550255408406,7
amp_fp16_trained,sinusoidal,1213,attack,0.09370754545603203,10
amp_fp16_trained,sinusoidal,1213,noise,0.37680431837410955,7
amp_fp16_trained,rope,42,attack,0.1212689244789277,7
amp_fp16_trained,rope,42,noise,0.5784570361238732,8
amp_fp16_trained,rope,123,attack,0.12804234538442083,7
amp_fp16_trained,rope,123,noise,0.5582704781138289,8
amp_fp16_trained,rope,456,attack,0.10646703102864417,7
amp_fp16_trained,rope,456,noise,0.5472220810529188,8
amp_fp16_trained,rope,789,attack,0.13858794456698123,7
amp_fp16_trained,rope,789,noise,0.5562811081906945,8
amp_fp16_trained,rope,1011,attack,0.12239400296280072,7
amp_fp16_trained,rope,1011,noise,0.5650977458056416,8
amp_fp16_trained,rope,1213,attack,0.12187545140730031,7
amp_fp16_trained,rope,1213,noise,0.5703577579678563,8
