regime,family,family_label,seed,clean_accuracy_percent,max_rho_rel,epsilon_at_max_rho,min_normalized_accuracy,epsilon_at_min_accuracy,rho_nonmonotone_step_count,raw_accuracy_increase_step_count,q80_status,epsilon80,rho80,q50_status,epsilon50,rho50,q20_status,epsilon20,rho20,q80_epsilon_left,q80_epsilon_right,q80_rho_left,q80_rho_right,q80_accuracy_left,q80_accuracy_right,q80_epsilon_bracket_width,q80_rho_bracket_abs_width,q80_rho_bracket_signed_delta,q50_epsilon_left,q50_epsilon_right,q50_rho_left,q50_rho_right,q50_accuracy_left,q50_accuracy_right,q50_epsilon_bracket_width,q50_rho_bracket_abs_width,q50_rho_bracket_signed_delta,q20_epsilon_left,q20_epsilon_right,q20_rho_left,q20_rho_right,q20_accuracy_left,q20_accuracy_right,q20_epsilon_bracket_width,q20_rho_bracket_abs_width,q20_rho_bracket_signed_delta,cliff_width_rho20_minus_rho80
amp_fp16_trained,learned,Learned,42,77.80023094688222,0.11184532304847106,0.008,0.07680890538033394,0.008,0,0,IDENTIFIED,0.005064610866372981,0.06838006786116833,IDENTIFIED,0.005460352422907489,0.08593434522612428,IDENTIFIED,0.005856093979441998,0.10348862259108021,0.005,0.006,0.06551406339342043,0.10987199617833691,0.8489795918367347,0.0909090909090909,0.001,0.04435793278491648,0.04435793278491648,0.005,0.006,0.06551406339342043,0.10987199617833691,0.8489795918367347,0.0909090909090909,0.001,0.04435793278491648,0.04435793278491648,0.005,0.006,0.06551406339342043,0.10987199617833691,0.8489795918367347,0.0909090909090909,0.001,0.04435793278491648,0.04435793278491648,0.03510855472991188
full_fp32_trained,learned,Learned,42,78.17551963048498,0.12014637512011779,0.006,0.06351550960118169,0.008,1,0,IDENTIFIED,0.0046922401171303075,0.07206490561509955,IDENTIFIED,0.005256544502617801,0.1028150127994901,IDENTIFIED,0.005788219895287958,0.11520937789568547,0.0045,0.005,0.05659276430608917,0.09683447228040026,0.8969719350073856,0.6447562776957164,0.0005000000000000004,0.04024170797431109,0.04024170797431109,0.005,0.006,0.09683447228040026,0.12014637512011779,0.6447562776957164,0.08050221565731168,0.001,0.023311902839717527,0.023311902839717527,0.005,0.006,0.09683447228040026,0.12014637512011779,0.6447562776957164,0.08050221565731168,0.001,0.023311902839717527,0.023311902839717527,0.04314447228058592
amp_fp16_trained,learned,Learned,123,77.68475750577367,0.09952385375916267,0.008,0.06837606837606837,0.008,0,0,IDENTIFIED,0.004569957081545064,0.056512403933534246,IDENTIFIED,0.005390489913544669,0.07660969714453195,IDENTIFIED,0.006655787476280835,0.09284647709209418,0.0045,0.005,0.054595764287848965,0.06829444641805364,0.8242289111854328,0.6510590858416946,0.0005000000000000004,0.013698682130204677,0.013698682130204677,0.005,0.006,0.06829444641805364,0.08958885233752208,0.6510590858416946,0.26421404682274247,0.001,0.021294405919468434,0.021294405919468434,0.006,0.008,0.08958885233752208,0.09952385375916267,0.26421404682274247,0.06837606837606837,0.002,0.009935001421640596,0.009935001421640596,0.03633407315855993
full_fp32_trained,learned,Learned,123,77.68475750577367,0.09492790714885053,0.006,0.043106651802303976,0.008,1,0,IDENTIFIED,0.0045089664613278575,0.054334696287540236,IDENTIFIED,0.004785249828884326,0.07087379043234682,IDENTIFIED,0.005457506361323155,0.08885275329580944,0.0045,0.005,0.053797938865771465,0.08372933555295395,0.8097361575622445,0.26681531029357114,0.0005000000000000004,0.029931396687182484,0.029931396687182484,0.0045,0.005,0.053797938865771465,0.08372933555295395,0.8097361575622445,0.26681531029357114,0.0005000000000000004,0.029931396687182484,0.029931396687182484,0.005,0.006,0.08372933555295395,0.09492790714885053,0.26681531029357114,0.12077294685990338,0.001,0.011198571595896586,0.011198571595896586,0.0345180570082692
amp_fp16_trained,learned,Learned,456,78.23325635103926,0.10250007858335218,0.006,0.06826568265682657,0.008,1,0,IDENTIFIED,0.004548567870485678,0.05177527556419298,IDENTIFIED,0.004801681195516812,0.07605384744844142,IDENTIFIED,0.0055072046109510085,0.0988417937542134,0.0045,0.005,0.0471166566048538,0.09507654153240974,0.8575645756457565,0.2649446494464945,0.0005000000000000004,0.04795988492755594,0.04795988492755594,0.0045,0.005,0.0471166566048538,0.09507654153240974,0.8575645756457565,0.2649446494464945,0.0005000000000000004,0.04795988492755594,0.04795988492755594,0.005,0.006,0.09507654153240974,0.10250007858335218,0.2649446494464945,0.13690036900369004,0.001,0.007423537050942439,0.007423537050942439,0.04706651819002042
full_fp32_trained,learned,Learned,456,78.43533487297921,0.10238845985618027,0.006,0.07655502392344497,0.008,1,0,IDENTIFIED,0.004807218683651805,0.05683919379570248,IDENTIFIED,0.005376634958382877,0.07963563062898335,IDENTIFIED,0.005861236623067777,0.09732359543879565,0.0045,0.005,0.04241818509534331,0.06588845150124921,0.9065145380934856,0.7331615752668385,0.0005000000000000004,0.023470266405905903,0.023470266405905903,0.005,0.006,0.06588845150124921,0.10238845985618027,0.7331615752668385,0.11409642988590357,0.001,0.03650000835493106,0.03650000835493106,0.005,0.006,0.06588845150124921,0.10238845985618027,0.7331615752668385,0.11409642988590357,0.001,0.03650000835493106,0.03650000835493106,0.04048440164309317
amp_fp16_trained,learned,Learned,789,78.00230946882218,0.10131931139064532,0.006,0.07364914877868245,0.008,1,0,IDENTIFIED,0.005043682864450128,0.05712962951412821,IDENTIFIED,0.005458312020460358,0.07628889145738066,IDENTIFIED,0.005872941176470589,0.09544815340063309,0.005,0.006,0.05511112350628988,0.10131931139064532,0.8316062176165803,0.10806809770540339,0.001,0.046208187884355434,0.046208187884355434,0.005,0.006,0.05511112350628988,0.10131931139064532,0.8316062176165803,0.10806809770540339,0.001,0.046208187884355434,0.046208187884355434,0.005,0.006,0.05511112350628988,0.10131931139064532,0.8316062176165803,0.10806809770540339,0.001,0.046208187884355434,0.046208187884355434,0.03831852388650488
full_fp32_trained,learned,Learned,789,77.3960739030023,0.1280946161241568,0.005,0.08429690414024618,0.008,1,1,IDENTIFIED,0.004572658988482724,0.05283348240423842,IDENTIFIED,0.004774036054081121,0.08829899087091897,IDENTIFIED,0.0049754131196795195,0.1237644993375995,0.0045,0.005,0.040037149497324724,0.1280946161241568,0.9082431928384931,0.16337187616560986,0.0005000000000000004,0.08805746662683206,0.08805746662683206,0.0045,0.005,0.040037149497324724,0.1280946161241568,0.9082431928384931,0.16337187616560986,0.0005000000000000004,0.08805746662683206,0.08805746662683206,0.0045,0.005,0.040037149497324724,0.1280946161241568,0.9082431928384931,0.16337187616560986,0.0005000000000000004,0.08805746662683206,0.08805746662683206,0.07093101693336108
amp_fp16_trained,learned,Learned,1011,77.74249422632795,0.24749272810274703,0.003,0.04753063497957668,0.008,5,0,IDENTIFIED,0.0022013623978201628,0.18160706179310557,IDENTIFIED,0.003438125894134478,0.24498960282807575,IDENTIFIED,0.004046861924686193,0.23933890999448346,0.0,0.003,0.0,0.24749272810274703,1.0,0.7274415150389899,0.003,0.24749272810274703,0.24749272810274703,0.003,0.004,0.24749272810274703,0.24177947237378303,0.7274415150389899,0.20831786112142592,0.001,0.005713255728964001,-0.005713255728964001,0.004,0.0045,0.24177947237378303,0.21573954341607787,0.20831786112142592,0.11956925362049757,0.0004999999999999996,0.026039928957705155,-0.026039928957705155,0.05773184820137789
full_fp32_trained,learned,Learned,1011,78.31986143187066,0.10621422160310269,0.006,0.04349428676741615,0.008,1,0,IDENTIFIED,0.004721303258145363,0.05464278874961023,IDENTIFIED,0.005335127478753541,0.07763113502116503,IDENTIFIED,0.005796260623229462,0.09745539933223368,0.0045,0.005,0.04782883447000917,0.06322389538484961,0.8650939918908958,0.7180243273129379,0.0005000000000000004,0.015395060914840442,0.015395060914840442,0.005,0.006,0.06322389538484961,0.10621422160310269,0.7180243273129379,0.06745300405455217,0.001,0.04299032621825308,0.04299032621825308,0.005,0.006,0.06322389538484961,0.10621422160310269,0.7180243273129379,0.06745300405455217,0.001,0.04299032621825308,0.04299032621825308,0.04281261058262345
