family,family_label,metric,n,mean_delta_amp_minus_fp32,sd_delta,ci90_t_low,ci90_t_high,ci95_t_low,ci95_t_high,ci95_bootstrap_low,ci95_bootstrap_high,positive_deltas,negative_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta,equivalence_margin,tost_p_lower,tost_p_upper,tost_p_max,equivalence_status,amp_mean,amp_sd,fp32_mean,fp32_sd
learned,Learned,clean_accuracy_pp,6,-0.02405696689760835,0.45660097821856266,-0.3996752201000771,0.35156128630486044,-0.5032303066515381,0.4551163728563214,-0.35123171670515063,0.3079291762894603,2,3,1,1.0,-0.5773672055427141,0.6062355658198726,1.0,0.0016830948760167847,0.0013644157476073696,0.0016830948760167847,EQUIVALENT,77.93013856812934,0.2211776132722595,77.95419553502694,0.41380220860769
learned,Learned,epsilon50,6,-0.0004011391064622689,0.0010843950139178711,-0.0012932058788517164,0.0004909276659271786,-0.0015391418817931849,0.000736863668868647,-0.001221919816367409,0.00036798104325046384,3,3,0,0.46875,-0.0018970015846190634,0.0006842759663792369,,,,,,0.004798914242778888,0.0008223586547848952,0.005200053349241157,0.0003548494525232025
learned,Learned,rho50,6,0.034474635424789644,0.07174770317652478,-0.02454789896311378,0.09349716981269307,-0.04081996136933378,0.10976923221891308,-0.008678277061499364,0.09213678117783947,3,3,0,0.4375,-0.016880667573365815,0.16735846780691072,0.01,0.09468935642018302,0.7792587640338376,0.7792587640338376,INCONCLUSIVE,0.1169890702971627,0.06773429885436458,0.08251443487237307,0.011470549778256631
learned,Learned,cliff_width,6,0.01668831590673242,0.05200659302721534,-0.02609439056951962,0.05947102238298446,-0.03788925632559335,0.07126588813905818,-0.013809538316070567,0.060180357230704695,4,2,0,0.625,-0.032612493046856206,0.11746093572195235,,,,,,0.061166513482865885,0.04551719289960647,0.044478197576133464,0.013488523286052413
sinusoidal,Sinusoidal,clean_accuracy_pp,6,-0.3223633564280182,0.6948624912959057,-0.89398507352287,0.24925836066683354,-1.051576819620855,0.40685010676481853,-0.8275596612779003,0.16358737490377231,2,4,0,0.34375,-1.3856812933025395,0.5196304849884541,1.0,0.031241521589013412,0.0027622665816696423,0.031241521589013412,EQUIVALENT,78.5363741339492,0.5078698639075963,78.85873749037721,0.3758064764547601
sinusoidal,Sinusoidal,epsilon50,6,-0.00023736376930620713,0.000368424915034982,-0.0005404448611637583,6.571732255134408e-05,-0.0006240020057695671,0.00014927446715715285,-0.0004998330774841476,2.3498205724426912e-05,2,4,0,0.1875,-0.0006791220377560594,0.0001907967859544786,,,,,,0.007711051940009737,0.0004926439601919104,0.007948415709315943,0.0003230616806357733
sinusoidal,Sinusoidal,rho50,6,-0.0005190774993229577,0.005422557586730494,-0.004979890563202413,0.003941735564556498,-0.006209702690226299,0.0051715476915803835,-0.004542518077436305,0.0033628592862364284,3,3,0,0.84375,-0.007510185344751313,0.005859033660347651,0.01,0.003921503426970634,0.002548409337250426,0.003921503426970634,EQUIVALENT,0.06745373691501526,0.002460604671644469,0.06797281441433821,0.005075022403470471
sinusoidal,Sinusoidal,cliff_width,6,-0.0005219517025476008,0.004984410173704956,-0.004622327155084368,0.0035784237499891665,-0.005752769382693715,0.004708865977598514,-0.004020445125724526,0.0030851110250988954,3,3,0,0.8125,-0.006089048768365808,0.006493754969026058,,,,,,0.03972162896668641,0.004424721445653202,0.040243580669234016,0.002651748736397456
rope,RoPE,clean_accuracy_pp,6,0.18283294842186137,0.6228255344573931,-0.3295282826370809,0.6951941794808036,-0.4707823648749915,0.8364482617187142,-0.28387220939183777,0.6302925327174691,4,2,0,0.46875,-0.7217090069284069,0.7794457274826669,1.0,0.0027862288352478587,0.011814069442302948,0.011814069442302948,EQUIVALENT,82.82332563510393,0.3281356175146142,82.64049268668207,0.34238735324590036
rope,RoPE,epsilon50,6,0.00022708669008972052,0.0010038140697988414,-0.0005986909701092853,0.0010528643502887263,-0.0008263515705862189,0.00128052495076566,-0.0003184083869115205,0.001065418914081279,2,4,0,0.875,-0.0005056311366066629,0.002203619233926535,,,,,,0.06707491414772121,0.0007172533507838104,0.06684782745763147,0.0007912922712783224
rope,RoPE,rho50,6,0.006473920337149247,0.013310954390195156,-0.00447620389607031,0.017424044570368804,-0.007495069600951471,0.020442910275249963,-0.00047788123343323285,0.01756180963345441,4,2,0,0.25,-0.002313160577903678,0.03304304585042579,0.01,0.014515105525560196,0.2725209859770016,0.2725209859770016,INCONCLUSIVE,0.08361826109666726,0.01022328928570648,0.077144340759518,0.007660161666196683
rope,RoPE,cliff_width,6,0.00011522935226065377,0.0050583669694991805,-0.004045985922733484,0.0042764446272547905,-0.00519320122520443,0.005423659929725737,-0.0033703334645822356,0.003957846377824572,3,3,0,1.0,-0.005047646705042673,0.0080232360275145,,,,,,0.04415730010190904,0.0023742011131798906,0.04404207074964838,0.004235197407364569
