family,omitted_seed,n,mean_delta_rho50,sd_delta,ci90_low,ci90_high,equivalence_margin,equivalence_status,posthoc_sensitivity_only
learned,none,6,0.034474635424789644,0.07174770317652478,-0.02454789896311378,0.09349716981269307,0.01,INCONCLUSIVE,False
learned,42,5,0.04474569602442074,0.07512293920683397,-0.02687582807010617,0.11636722011894765,0.01,INCONCLUSIVE,True
learned,123,5,0.040222381167310556,0.07865679742068307,-0.03476829107134023,0.11521305340596134,0.01,INCONCLUSIVE,True
learned,456,5,0.042085919145855966,0.07746082132125963,-0.03176452040320987,0.1159363586949218,0.01,INCONCLUSIVE,True
learned,789,5,0.04377158239245524,0.07606850180584919,-0.02875143244755214,0.11629459723246262,0.01,INCONCLUSIVE,True
learned,1011,5,0.007897868948365435,0.03372287452628386,-0.02425321161267347,0.040048949509404345,0.01,INCONCLUSIVE,True
learned,1213,5,0.028124364870329953,0.07830850284625607,-0.046534246502256536,0.10278297624291644,0.01,INCONCLUSIVE,True
sinusoidal,none,6,-0.0005190774993229577,0.005422557586730494,-0.004979890563202413,0.003941735564556498,0.01,EQUIVALENT,False
sinusoidal,42,5,0.0008791440697627134,0.004700264546260941,-0.003602045218156605,0.005360333357682032,0.01,EQUIVALENT,True
sinusoidal,123,5,-0.0009564548386913118,0.005943098640382263,-0.0066225508003568585,0.0047096411229742355,0.01,EQUIVALENT,True
sinusoidal,456,5,-0.0013140251600209153,0.005658232948756342,-0.006708532773148658,0.004080482453106826,0.01,EQUIVALENT,True
sinusoidal,789,5,0.0006913782994978634,0.0050760357731224085,-0.00414806784395514,0.005530824442950867,0.01,EQUIVALENT,True
sinusoidal,1011,5,-0.0006198076352290166,0.006056324320465603,-0.0063938519261243455,0.005154236655666312,0.01,EQUIVALENT,True
sinusoidal,1213,5,-0.0017946997312570795,0.004954903923107502,-0.006518659875279592,0.0029292604127654333,0.01,EQUIVALENT,True
rope,none,6,0.006473920337149247,0.013310954390195156,-0.00447620389607031,0.017424044570368804,0.01,INCONCLUSIVE,False
rope,42,5,0.007648791003409294,0.014530123032997076,-0.006204095583455912,0.0215016775902745,0.01,INCONCLUSIVE,True
rope,123,5,0.008231336520159832,0.014082366497503659,-0.005194663075409292,0.021657336115728957,0.01,INCONCLUSIVE,True
rope,456,5,0.007976866621144779,0.014301591763786288,-0.0056581403409753355,0.02161187358326489,0.01,INCONCLUSIVE,True
rope,789,5,0.001160095234493938,0.003114699714297807,-0.0018094310245971444,0.00412962149358502,0.01,EQUIVALENT,True
rope,1011,5,0.007120486621575941,0.014776383988349098,-0.00696718291086498,0.021208156154016864,0.01,INCONCLUSIVE,True
rope,1213,5,0.006705946022111697,0.014868527636713138,-0.007469572423073341,0.020881464467296735,0.01,INCONCLUSIVE,True
