regime,family,seed,budget,rho,accuracy,rho_sd,accuracy_sd,n_draws,source_index
full_fp32_trained,learned,42,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,learned,42,0.0025,0.004786913484071015,0.9998153618906942,6.153168473718574e-05,0.0007637662263657695,10,1
full_fp32_trained,learned,42,0.005,0.00957356034808558,0.9994091580502216,0.00012217228362506447,0.0009078822705359623,10,2
full_fp32_trained,learned,42,0.01,0.01921595899125199,0.9991137370753324,0.00024160076145210565,0.0011037179601900023,10,3
full_fp32_trained,learned,42,0.02,0.03895477708970626,0.9981536189069425,0.00048096934446323575,0.001705613793765487,10,4
full_fp32_trained,learned,42,0.04,0.08066729352378993,0.9954579025110784,0.0009531961322730156,0.0026403177898649214,10,5
full_fp32_trained,learned,42,0.06,0.1239217613878266,0.9915066469719351,0.001242646743187764,0.003375506942590371,10,6
full_fp32_trained,learned,42,0.08,0.16686112657852029,0.9848966026587889,0.0013576238725385482,0.004272731352477831,10,7
full_fp32_trained,learned,42,0.12,0.25024666605102847,0.9583825701624816,0.0016823115851709461,0.009021985596849236,10,8
full_fp32_trained,learned,123,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,learned,123,0.0025,0.004559546472705645,0.9992196209587514,8.169974179551413e-05,0.0004448974358000337,10,1
full_fp32_trained,learned,123,0.005,0.009115322103166353,0.998810850984764,0.0001635143997658184,0.0008897948716000314,10,2
full_fp32_trained,learned,123,0.01,0.018279152040550445,0.9992567818654775,0.0003253646679837066,0.0012009611934637717,10,3
full_fp32_trained,learned,123,0.02,0.03694004363481276,0.9989223337049424,0.0006406141560686029,0.0021343721542289003,10,4
full_fp32_trained,learned,123,0.04,0.07605937080712608,0.9972129319955407,0.0012233263431612406,0.0019049370121676733,10,5
full_fp32_trained,learned,123,0.06,0.11694455542708873,0.9947603121516165,0.0017258792717180045,0.003174787622436921,10,6
full_fp32_trained,learned,123,0.08,0.15827352793318142,0.9893719806763285,0.002161998736868647,0.004212298011169942,10,7
full_fp32_trained,learned,123,0.12,0.23928672393639863,0.9680787811222593,0.0028900234211135575,0.006922199096975578,10,8
full_fp32_trained,learned,456,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,learned,456,0.0025,0.004703090021108862,0.9997055576002944,5.868440954331953e-05,0.0005701852552384727,10,1
full_fp32_trained,learned,456,0.005,0.009406620059715811,0.9993743099006258,0.00011734359192973744,0.0009351411606016597,10,2
full_fp32_trained,learned,456,0.01,0.018891481686268464,0.9988222304011778,0.00023490311829913339,0.0012960483519807882,10,3
full_fp32_trained,learned,456,0.02,0.038374890326378676,0.9982701509017298,0.00047157309999252135,0.0017612787801259294,10,4
full_fp32_trained,learned,456,0.04,0.07982039509868644,0.9960986382039014,0.0008895790426992551,0.0032653398098678663,10,5
full_fp32_trained,learned,456,0.06,0.12292796406862136,0.9915715863084283,0.0011462955594770602,0.0032480083484795566,10,6
full_fp32_trained,learned,456,0.08,0.1658302025881086,0.9853882959146117,0.0013444594947591136,0.0035432203978522244,10,7
full_fp32_trained,learned,456,0.12,0.2491078530329555,0.9635259477364742,0.0018160448721777742,0.007934651338553688,10,8
full_fp32_trained,learned,789,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,learned,789,0.0025,0.004601080401972525,0.9998508019395749,4.430048972699843e-05,0.0006855177795394683,10,1
full_fp32_trained,learned,789,0.005,0.009202287021348628,0.9994032077582992,8.955385680770256e-05,0.0011821324703722039,10,2
full_fp32_trained,learned,789,0.01,0.01848002010870061,0.9983588213353227,0.00018314023664366464,0.0011008799513206125,10,3
full_fp32_trained,learned,789,0.02,0.0375469311017523,0.9966057441253264,0.000379659566498593,0.001662980288785045,10,4
full_fp32_trained,learned,789,0.04,0.0784488835319583,0.9944423722491609,0.0007793327426435133,0.0025988005718205523,10,5
full_fp32_trained,learned,789,0.06,0.12185290544656077,0.9897053338306602,0.001119866313953645,0.0026793412899765575,10,6
full_fp32_trained,learned,789,0.08,0.16537575265827162,0.9826557254755688,0.001403481605131903,0.0026094854981742466,10,7
full_fp32_trained,learned,789,0.12,0.2493113825872489,0.9555762775083926,0.001939847845695348,0.005106538380726827,10,8
full_fp32_trained,learned,1011,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,learned,1011,0.0025,0.00476957365307684,0.9998525617397716,5.247437717909697e-05,0.0006312929145430953,10,1
full_fp32_trained,learned,1011,0.005,0.009536183926468296,0.9993733873940288,0.00010504039797313117,0.0006276957746379287,10,2
full_fp32_trained,learned,1011,0.01,0.019129852869732577,0.9992996682639145,0.00020852588320560206,0.0009588211335606897,10,3
full_fp32_trained,learned,1011,0.02,0.0387316911674974,0.9992996682639145,0.000408571430776253,0.001427035990488712,10,4
full_fp32_trained,learned,1011,0.04,0.0803177887965961,0.9974198304460009,0.0007696333097709655,0.0021632653718710922,10,5
full_fp32_trained,learned,1011,0.06,0.12434464854804488,0.993291559159602,0.0010681868569748724,0.0038806740968177363,10,6
full_fp32_trained,learned,1011,0.08,0.16868408933681012,0.9875046074456322,0.0013108491230704503,0.004615056988724751,10,7
full_fp32_trained,learned,1011,0.12,0.2535911915473067,0.9701437523037229,0.001780032775998241,0.007857612461147337,10,8
full_fp32_trained,learned,1213,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,learned,1213,0.0025,0.004645458956470943,1.0,4.102467525635115e-05,0.0005537563094352934,10,1
full_fp32_trained,learned,1213,0.005,0.009289876603028178,1.000037147102526,8.179776806934466e-05,0.001071629347370908,10,2
full_fp32_trained,learned,1213,0.01,0.018648611744497896,0.999219910846954,0.00016240843140801273,0.0011137249540251843,10,3
full_fp32_trained,learned,1213,0.02,0.037823918815406574,0.998179791976226,0.0003198934257181654,0.001755066829113612,10,4
full_fp32_trained,learned,1213,0.04,0.07855597054902601,0.9962852897473997,0.0006117435009124238,0.0019578242076326983,10,5
full_fp32_trained,learned,1213,0.06,0.12130509701024458,0.9932763744427936,0.0008366050958497005,0.0034290440061962475,10,6
full_fp32_trained,learned,1213,0.08,0.16408955572609943,0.986998514115899,0.0009974701621768306,0.0038564664443777657,10,7
full_fp32_trained,learned,1213,0.12,0.2468008674203276,0.9635586924219911,0.0012029844451657246,0.006001170333390686,10,8
full_fp32_trained,rope,42,0.0,0.00010578013836411684,0.999651567944251,0.0,1.1702778228589004e-16,10,0
full_fp32_trained,rope,42,0.025,0.024173833044995117,0.9983275261324043,0.00043307982224802374,0.0007491064109917448,10,1
full_fp32_trained,rope,42,0.05,0.0483671630825624,0.997595818815331,0.0008636421358388277,0.0009063699426307433,10,2
full_fp32_trained,rope,42,0.1,0.09688874337034223,0.996062717770035,0.0017120906965287107,0.0016347038532173704,10,3
full_fp32_trained,rope,42,0.2,0.19480653271048487,0.9924738675958189,0.003308668021688828,0.0023528840440605087,10,4
full_fp32_trained,rope,42,0.4,0.39350734844130547,0.9645993031358886,0.005681682965265205,0.004732637176096162,10,5
full_fp32_trained,rope,42,0.6,0.5882034453330317,0.8908710801393729,0.0067630157874100805,0.012240720018661557,10,6
full_fp32_trained,rope,123,0.0,0.00010851192876397586,0.9996491228070175,0.0,0.0,10,0
full_fp32_trained,rope,123,0.025,0.023720969746010796,1.0001052631578946,0.00030560515868328263,0.0008915012397735574,10,1
full_fp32_trained,rope,123,0.05,0.04746123005785863,0.9998947368421052,0.0006068482908341748,0.0012383308474916113,10,2
full_fp32_trained,rope,123,0.1,0.09506662037517705,0.9989473684210527,0.0011904043346472669,0.000905961016656718,10,3
full_fp32_trained,rope,123,0.2,0.1910607714525126,0.9943859649122807,0.002250107221090685,0.002436569199532157,10,4
full_fp32_trained,rope,123,0.4,0.38602880261210226,0.9685263157894737,0.003791293709533626,0.003489420320126822,10,5
full_fp32_trained,rope,123,0.6,0.5785295698842448,0.9081052631578947,0.004391057297349679,0.007584233951460382,10,6
full_fp32_trained,rope,456,0.0,0.0001085275020243251,1.0,1.4285617954820562e-20,0.0,10,0
full_fp32_trained,rope,456,0.025,0.022453342249402843,0.9995817357964448,0.00037753661648613616,0.0008506102111176,10,1
full_fp32_trained,rope,456,0.05,0.044927153540975526,0.9986057859881491,0.0007530261226389386,0.0011961926502831494,10,2
full_fp32_trained,rope,456,0.1,0.09003036129980654,0.9968630184733357,0.0014874842502401392,0.0015325788263358398,10,3
full_fp32_trained,rope,456,0.2,0.18131249913189104,0.992018124782154,0.002842432403403259,0.00261582895444756,10,4
full_fp32_trained,rope,456,0.4,0.36897942386475047,0.9688393168351341,0.004946159527318039,0.005920167538467765,10,5
full_fp32_trained,rope,456,0.6,0.5576932674361698,0.899233182293482,0.0058549174125579586,0.02292014264919101,10,6
full_fp32_trained,rope,789,0.0,0.00010015377494206049,1.0,0.0,0.0,10,0
full_fp32_trained,rope,789,0.025,0.02296399737409657,1.0001403508771929,0.00043338959491526604,0.0008466414536072095,10,1
full_fp32_trained,rope,789,0.05,0.04594379518568057,1.0001754385964912,0.0008640474737952613,0.0014631574272745073,10,2
full_fp32_trained,rope,789,0.1,0.09203456916758854,0.9998245614035086,0.001701815044838119,0.0020542886631871593,10,3
full_fp32_trained,rope,789,0.2,0.18515737923268882,0.9959649122807017,0.0032000030235298173,0.002426724435233505,10,4
full_fp32_trained,rope,789,0.4,0.3759330127442084,0.9720701754385963,0.005241850336801588,0.005370446432139124,10,5
full_fp32_trained,rope,789,0.6,0.5670150142414376,0.9080701754385965,0.005899103222380202,0.018410560457610373,10,6
full_fp32_trained,rope,1011,0.0,9.691197349018589e-05,1.0,0.0,0.0,10,0
full_fp32_trained,rope,1011,0.025,0.02258367145346909,0.9995101469559133,0.00034574089646197343,0.0007413225370688138,10,1
full_fp32_trained,rope,1011,0.05,0.045191665118054294,0.9992302309307208,0.0006871917174594249,0.0014073340918123207,10,2
full_fp32_trained,rope,1011,0.1,0.09058204604205221,0.9975507347795661,0.001348405728747074,0.0023558443989647724,10,3
full_fp32_trained,rope,1011,0.2,0.18250697544265748,0.9921623512946116,0.0025342125021346573,0.0027952698257886956,10,4
full_fp32_trained,rope,1011,0.4,0.37140250105014816,0.9674247725682296,0.0041456056809024075,0.004405683450900502,10,5
full_fp32_trained,rope,1011,0.6,0.561173533664854,0.9009097270818754,0.004607745749247465,0.009397068585609382,10,6
full_fp32_trained,rope,1213,0.0,9.962333695021914e-05,1.0,0.0,0.0,10,0
full_fp32_trained,rope,1213,0.025,0.02265591738886063,0.9991663772143106,0.0003497875987857326,0.0007174682591098795,10,1
full_fp32_trained,rope,1213,0.05,0.04533651679412432,0.9990969086488365,0.0006959268669604481,0.0015113737521899194,10,2
full_fp32_trained,rope,1213,0.1,0.09086957569678866,0.9986106286905176,0.001367512330750863,0.0019304540929180078,10,3
full_fp32_trained,rope,1213,0.2,0.18307032072289892,0.9932268148662731,0.0025621886876779744,0.002282089075422853,10,4
full_fp32_trained,rope,1213,0.4,0.37217018035311755,0.9635290031260855,0.003978645190273041,0.004316626579207458,10,5
full_fp32_trained,rope,1213,0.6,0.5614506643233038,0.8952066689822855,0.004094729055337159,0.013282097840893736,10,6
full_fp32_trained,sinusoidal,42,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,sinusoidal,42,0.01,0.010953500448317601,0.9990135184508586,8.041866129191354e-05,0.0005181353644180225,10,1
full_fp32_trained,sinusoidal,42,0.025,0.027986129493862928,0.9983558640847644,0.00019423609136871438,0.0021321570332494977,10,2
full_fp32_trained,sinusoidal,42,0.05,0.05922973628488222,0.9963463646328096,0.00041084045377881107,0.0025371655895748686,10,3
full_fp32_trained,sinusoidal,42,0.1,0.1259112215280221,0.9906466934599927,0.0007389740919331129,0.0041450829153443355,10,4
