metric,support_multiplier,regime,rank,family,mean,rho_endpoint
rho50,,full_fp32_trained,1,learned,0.08251443487237307,
rho50,,full_fp32_trained,2,rope,0.077144340759518,
rho50,,full_fp32_trained,3,sinusoidal,0.06797281441433821,
rho50,,amp_fp16_trained,1,learned,0.11698907029716271,
rho50,,amp_fp16_trained,2,rope,0.08361826109666724,
rho50,,amp_fp16_trained,3,sinusoidal,0.06745373691501524,
epsilon50,,full_fp32_trained,1,rope,0.06684782745763149,
epsilon50,,full_fp32_trained,2,sinusoidal,0.007948415709315943,
epsilon50,,full_fp32_trained,3,learned,0.0052000533492411564,
epsilon50,,amp_fp16_trained,1,rope,0.06707491414772121,
epsilon50,,amp_fp16_trained,2,sinusoidal,0.007711051940009737,
epsilon50,,amp_fp16_trained,3,learned,0.004798914242778888,
attack_nauc,1.0,full_fp32_trained,1,rope,0.8661324148115633,0.07923839733806452
attack_nauc,1.0,full_fp32_trained,2,learned,0.8509369245125585,0.07923839733806452
attack_nauc,1.0,full_fp32_trained,3,sinusoidal,0.7663660668996223,0.07923839733806452
attack_nauc,1.0,amp_fp16_trained,1,rope,0.8993164297208261,0.07923839733806452
attack_nauc,1.0,amp_fp16_trained,2,learned,0.8157248027182135,0.07923839733806452
attack_nauc,1.0,amp_fp16_trained,3,sinusoidal,0.7657253369037039,0.07923839733806452
noise_nauc,1.0,full_fp32_trained,1,rope,0.9991560137857363,0.07923839733806452
noise_nauc,1.0,full_fp32_trained,2,sinusoidal,0.998784717360999,0.07923839733806452
noise_nauc,1.0,full_fp32_trained,3,learned,0.9980785447645631,0.07923839733806452
noise_nauc,1.0,amp_fp16_trained,1,rope,0.9993274666327796,0.07923839733806452
noise_nauc,1.0,amp_fp16_trained,2,sinusoidal,0.99915624689757,0.07923839733806452
noise_nauc,1.0,amp_fp16_trained,3,learned,0.9974227246750577,0.07923839733806452
noise_minus_attack_gap,1.0,full_fp32_trained,1,rope,0.13302359897417285,0.07923839733806452
noise_minus_attack_gap,1.0,full_fp32_trained,2,learned,0.14714162025200453,0.07923839733806452
noise_minus_attack_gap,1.0,full_fp32_trained,3,sinusoidal,0.23241865046137677,0.07923839733806452
noise_minus_attack_gap,1.0,amp_fp16_trained,1,rope,0.1000110369119535,0.07923839733806452
noise_minus_attack_gap,1.0,amp_fp16_trained,2,learned,0.18169792195684412,0.07923839733806452
noise_minus_attack_gap,1.0,amp_fp16_trained,3,sinusoidal,0.23343090999386606,0.07923839733806452
attack_nauc,0.9,full_fp32_trained,1,rope,0.9039804194376053,0.07131455760425807
attack_nauc,0.9,full_fp32_trained,2,learned,0.8856430951183535,0.07131455760425807
attack_nauc,0.9,full_fp32_trained,3,sinusoidal,0.8116946847744081,0.07131455760425807
attack_nauc,0.9,amp_fp16_trained,1,rope,0.9292792155830051,0.07131455760425807
attack_nauc,0.9,amp_fp16_trained,2,learned,0.8513706694654591,0.07131455760425807
attack_nauc,0.9,amp_fp16_trained,3,sinusoidal,0.8116134605822722,0.07131455760425807
noise_nauc,0.9,full_fp32_trained,1,rope,0.9992406404837874,0.07131455760425807
noise_nauc,0.9,full_fp32_trained,2,sinusoidal,0.9989696690088464,0.07131455760425807
noise_nauc,0.9,full_fp32_trained,3,learned,0.9982711136609773,0.07131455760425807
noise_nauc,0.9,amp_fp16_trained,1,rope,0.9994384041173748,0.07131455760425807
noise_nauc,0.9,amp_fp16_trained,2,sinusoidal,0.9992245610352343,0.07131455760425807
noise_nauc,0.9,amp_fp16_trained,3,learned,0.9976542456577507,0.07131455760425807
noise_minus_attack_gap,0.9,full_fp32_trained,1,rope,0.09526022104618213,0.07131455760425807
noise_minus_attack_gap,0.9,full_fp32_trained,2,learned,0.11262801854262385,0.07131455760425807
noise_minus_attack_gap,0.9,full_fp32_trained,3,sinusoidal,0.18727498423443836,0.07131455760425807
noise_minus_attack_gap,0.9,amp_fp16_trained,1,rope,0.07015918853436971,0.07131455760425807
noise_minus_attack_gap,0.9,amp_fp16_trained,2,learned,0.14628357619229163,0.07131455760425807
noise_minus_attack_gap,0.9,amp_fp16_trained,3,sinusoidal,0.18761110045296206,0.07131455760425807
attack_nauc,0.75,full_fp32_trained,1,rope,0.9484592913408815,0.05942879800354839
attack_nauc,0.75,full_fp32_trained,2,learned,0.9259658598574648,0.05942879800354839
attack_nauc,0.75,full_fp32_trained,3,sinusoidal,0.8663085470887802,0.05942879800354839
attack_nauc,0.75,amp_fp16_trained,1,rope,0.9618007596795297,0.05942879800354839
attack_nauc,0.75,amp_fp16_trained,2,learned,0.8950644609280803,0.05942879800354839
attack_nauc,0.75,amp_fp16_trained,3,sinusoidal,0.8677005466717261,0.05942879800354839
noise_nauc,0.75,full_fp32_trained,1,rope,0.9993618787573827,0.05942879800354839
noise_nauc,0.75,full_fp32_trained,2,sinusoidal,0.999187897381339,0.05942879800354839
noise_nauc,0.75,full_fp32_trained,3,learned,0.9985550022247885,0.05942879800354839
noise_nauc,0.75,amp_fp16_trained,1,rope,0.999592250743333,0.05942879800354839
noise_nauc,0.75,amp_fp16_trained,2,sinusoidal,0.999273295933837,0.05942879800354839
noise_nauc,0.75,amp_fp16_trained,3,learned,0.998005781630286,0.05942879800354839
noise_minus_attack_gap,0.75,full_fp32_trained,1,rope,0.05090258741650122,0.05942879800354839
noise_minus_attack_gap,0.75,full_fp32_trained,2,learned,0.07258914236732382,0.05942879800354839
noise_minus_attack_gap,0.75,full_fp32_trained,3,sinusoidal,0.1328793502925585,0.05942879800354839
noise_minus_attack_gap,0.75,amp_fp16_trained,1,rope,0.03779149106380327,0.05942879800354839
noise_minus_attack_gap,0.75,amp_fp16_trained,2,learned,0.10294132070220564,0.05942879800354839
noise_minus_attack_gap,0.75,amp_fp16_trained,3,sinusoidal,0.1315727492621109,0.05942879800354839
