run_id,run_group,status,dataset,architecture,training_precision_regime,attack_eval_precision,pe_family,seed_scope,session,started_at,completed_at,elapsed_seconds,elapsed_hours,gpu,protocol_id,parameter_norm,pgd_steps,pgd_restarts,pgd_alpha_ratio,budget_grid,calibration_images,attack_images,eval_images,num_workers,split_hash,sample_order_hash,checkpoint_manifest_hash,code_hash,output_artifact_id,resume_or_reuse,notes
RUN-VITS-FP32-S01,ViT-S FP32 canonical n=6,COMPLETE,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,learned|sinusoidal|rope|alibi|noise,42,1,2026-07-26T09:07:41.980233+00:00,2026-07-27T04:30:56.814664+00:00,71291.93830633163,19.803,FMLE GPU; exact model/environment pending D033a,VITS_IN100_LOCKED_PROTOCOL_v16,global_rms,"{""alibi"": 200, ""learned"": 1600, ""rope"": 200, ""sinusoidal"": 200}",5,0.05,"{""alibi"": [0.0, 0.001, 0.0025, 0.005, 0.01, 0.015, 0.025, 0.04], ""learned"": [0.0, 0.003, 0.004, 0.0045, 0.005, 0.006, 0.008], ""rope"": [0.0, 0.01, 0.025, 0.05, 0.075, 0.1], ""sinusoidal"": [0.0, 0.005, 0.006, 0.007, 0.0075, 0.008, 0.0085, 0.009, 0.0095, 0.01]}",256,1280,3464,4,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0039,Reuse provenance present for seed 42/123 where compatible; empty for untouched seeds.,
RUN-VITS-FP32-S02,ViT-S FP32 canonical n=6,COMPLETE,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,learned|sinusoidal|rope|alibi|noise,123,2,2026-07-26T09:20:24.726594+00:00,2026-07-27T20:08:09.915844+00:00,125265.18698692322,34.796,FMLE GPU; exact model/environment pending D033a,VITS_IN100_LOCKED_PROTOCOL_v16,global_rms,"{""alibi"": 200, ""learned"": 1600, ""rope"": 200, ""sinusoidal"": 200}",5,0.05,"{""alibi"": [0.0, 0.001, 0.0025, 0.005, 0.01, 0.015, 0.025, 0.04], ""learned"": [0.0, 0.003, 0.004, 0.0045, 0.005, 0.006, 0.008], ""rope"": [0.0, 0.01, 0.025, 0.05, 0.075, 0.1], ""sinusoidal"": [0.0, 0.005, 0.006, 0.007, 0.0075, 0.008, 0.0085, 0.009, 0.0095, 0.01]}",256,1280,3464,4,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0040,Reuse provenance present for seed 42/123 where compatible; empty for untouched seeds.,
RUN-VITS-FP32-S03,ViT-S FP32 canonical n=6,COMPLETE,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,learned|sinusoidal|rope|alibi|noise,456,3,2026-07-26T09:22:42.095826+00:00,2026-07-28T06:42:49.331229+00:00,163207.23351573944,45.335,FMLE GPU; exact model/environment pending D033a,VITS_IN100_LOCKED_PROTOCOL_v16,global_rms,"{""alibi"": 200, ""learned"": 1600, ""rope"": 200, ""sinusoidal"": 200}",5,0.05,"{""alibi"": [0.0, 0.001, 0.0025, 0.005, 0.01, 0.015, 0.025, 0.04], ""learned"": [0.0, 0.003, 0.004, 0.0045, 0.005, 0.006, 0.008], ""rope"": [0.0, 0.01, 0.025, 0.05, 0.075, 0.1], ""sinusoidal"": [0.0, 0.005, 0.006, 0.007, 0.0075, 0.008, 0.0085, 0.009, 0.0095, 0.01]}",256,1280,3464,4,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0041,Reuse provenance present for seed 42/123 where compatible; empty for untouched seeds.,
RUN-VITS-FP32-S04,ViT-S FP32 canonical n=6,COMPLETE,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,learned|sinusoidal|rope|alibi|noise,789,4,2026-07-26T09:24:35.027906+00:00,2026-07-28T06:52:59.989768+00:00,163704.95875644684,45.474,FMLE GPU; exact model/environment pending D033a,VITS_IN100_LOCKED_PROTOCOL_v16,global_rms,"{""alibi"": 200, ""learned"": 1600, ""rope"": 200, ""sinusoidal"": 200}",5,0.05,"{""alibi"": [0.0, 0.001, 0.0025, 0.005, 0.01, 0.015, 0.025, 0.04], ""learned"": [0.0, 0.003, 0.004, 0.0045, 0.005, 0.006, 0.008], ""rope"": [0.0, 0.01, 0.025, 0.05, 0.075, 0.1], ""sinusoidal"": [0.0, 0.005, 0.006, 0.007, 0.0075, 0.008, 0.0085, 0.009, 0.0095, 0.01]}",256,1280,3464,4,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0042,Reuse provenance present for seed 42/123 where compatible; empty for untouched seeds.,
RUN-VITS-FP32-S05,ViT-S FP32 canonical n=6,COMPLETE,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,learned|sinusoidal|rope|alibi|noise,1011,5,2026-07-27T05:00:34.084535+00:00,2026-07-28T20:49:01.935381+00:00,143307.84885931015,39.808,FMLE GPU; exact model/environment pending D033a,VITS_IN100_LOCKED_PROTOCOL_v16,global_rms,"{""alibi"": 200, ""learned"": 1600, ""rope"": 200, ""sinusoidal"": 200}",5,0.05,"{""alibi"": [0.0, 0.001, 0.0025, 0.005, 0.01, 0.015, 0.025, 0.04], ""learned"": [0.0, 0.003, 0.004, 0.0045, 0.005, 0.006, 0.008], ""rope"": [0.0, 0.01, 0.025, 0.05, 0.075, 0.1], ""sinusoidal"": [0.0, 0.005, 0.006, 0.007, 0.0075, 0.008, 0.0085, 0.009, 0.0095, 0.01]}",256,1280,3464,4,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0043,Reuse provenance present for seed 42/123 where compatible; empty for untouched seeds.,
RUN-VITS-FP32-S06,ViT-S FP32 canonical n=6,COMPLETE,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,learned|sinusoidal|rope|alibi|noise,1213,6,2026-07-27T20:39:08.771489+00:00,2026-07-29T05:59:15.197584+00:00,120006.42373347282,33.335,FMLE GPU; exact model/environment pending D033a,VITS_IN100_LOCKED_PROTOCOL_v16,global_rms,"{""alibi"": 200, ""learned"": 1600, ""rope"": 200, ""sinusoidal"": 200}",5,0.05,"{""alibi"": [0.0, 0.001, 0.0025, 0.005, 0.01, 0.015, 0.025, 0.04], ""learned"": [0.0, 0.003, 0.004, 0.0045, 0.005, 0.006, 0.008], ""rope"": [0.0, 0.01, 0.025, 0.05, 0.075, 0.1], ""sinusoidal"": [0.0, 0.005, 0.006, 0.007, 0.0075, 0.008, 0.0085, 0.009, 0.0095, 0.01]}",256,1280,3464,4,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0044,Reuse provenance present for seed 42/123 where compatible; empty for untouched seeds.,
RUN-VITB-ALIBI200-N6,ViT-B ALiBi harmonized final rerun,COMPLETE,ImageNet-100,ViT-B/16,canonical ViT-B training cohort,PENDING_D033_PROVENANCE_AUDIT,alibi,"42,123,456,789,1011,1213",1,2026-07-28T21:05:20.203958+00:00,2026-07-29T17:20:01.472995+00:00,72881.26563763618,20.245,NVIDIA H200 (log); num_workers=8,ViT-B harmonized final schedules,global_rms,200,5,0.05,"[0, 0.0025, 0.005, 0.01, 0.0125, 0.015, 0.02, 0.025]",256,1280,3464,8,,,,d1bf3324353c1a0d377967d2088e32b64a9bda88edacba2383ea2d44a382a307,ART-0046,Single sequential six-seed run; attack stage only; existing noise retained.,Supersedes ViT-B ALiBi 100x5 attack curves; does not supersede noise or geometry.
RUN-VITS-FP32-SINEXT-123,ViT-S FP32 Sinusoidal coverage/ceiling diagnostic,COMPLETE_TARGET_NOT_REACHED,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,sinusoidal,123,,2026-07-29T17:31:59.764866+00:00,2026-07-29T20:56:55.075785+00:00,12262.775,3.406,FMLE GPU; num_workers=8,VITS_FP32_SINUSOIDAL_COVERAGE_EXTENSION,global_rms,200,5,0.05,"[0.0, 0.0105, 0.011, 0.012, 0.013, 0.015, 0.02]",256,1280,3464,8,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0037,Targeted extension; not merged into canonical primary frontier.,Combined max rho_rel=0.088095530; 0.09 target FAIL.
RUN-VITS-FP32-SINEXT-456,ViT-S FP32 Sinusoidal coverage/ceiling diagnostic,COMPLETE_TARGET_NOT_REACHED,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,sinusoidal,456,,2026-07-29T20:57:00.698311+00:00,2026-07-30T00:20:32.384911+00:00,12179.36,3.383,FMLE GPU; num_workers=8,VITS_FP32_SINUSOIDAL_COVERAGE_EXTENSION,global_rms,200,5,0.05,"[0.0, 0.0105, 0.011, 0.012, 0.013, 0.015, 0.02]",256,1280,3464,8,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0037,Targeted extension; not merged into canonical primary frontier.,Combined max rho_rel=0.079238397; 0.09 target FAIL.
RUN-VITS-FP32-SINEXT-1213,ViT-S FP32 Sinusoidal coverage/ceiling diagnostic,COMPLETE_TARGET_NOT_REACHED,ImageNet-100,ViT-S/16,full-FP32-trained,PENDING_D033_PROVENANCE_AUDIT,sinusoidal,1213,,2026-07-30T00:20:38.692317+00:00,2026-07-30T03:43:11.374784+00:00,12119.391,3.366,FMLE GPU; num_workers=8,VITS_FP32_SINUSOIDAL_COVERAGE_EXTENSION,global_rms,200,5,0.05,"[0.0, 0.0105, 0.011, 0.012, 0.013, 0.015, 0.02]",256,1280,3464,8,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,a6c2945e9fc6eb08c607f3721274b3f48dd1f6ee56cf4801f00c7d9bed46a8b3,e2b86d96ee33737761665b1e6a78f96cc5f446ac41f9cbc3f5426fa82fd88c64,ART-0037,Targeted extension; not merged into canonical primary frontier.,Combined max rho_rel=0.087695707; 0.09 target FAIL.
